origin,end,strat_ret,idx_ret,excess
2023-07-27,2024-05-13,0.2477,0.1507,0.0969
2023-08-03,2024-05-20,0.258,0.1791,0.0789
2023-08-10,2024-05-28,0.3079,0.1873,0.1205
2023-08-17,2024-06-04,0.4194,0.2107,0.2086
2023-08-24,2024-06-11,0.43,0.2283,0.2017
2023-08-31,2024-06-18,0.3989,0.2173,0.1817
2023-09-08,2024-06-26,0.4372,0.2289,0.2083
2023-09-15,2024-07-03,0.4438,0.2442,0.1996
2023-09-22,2024-07-11,0.5792,0.2927,0.2865
2023-09-29,2024-07-18,0.5578,0.293,0.2648
2023-10-06,2024-07-25,0.5724,0.2532,0.3192
2023-10-13,2024-08-01,0.6129,0.2585,0.3543
2023-10-20,2024-08-08,0.5914,0.2593,0.3321
2023-10-27,2024-08-15,0.6674,0.3463,0.3211
2023-11-03,2024-08-22,0.5728,0.2782,0.2947
2023-11-10,2024-08-29,0.5353,0.2665,0.2688
2023-11-17,2024-09-06,0.3432,0.1981,0.145
2023-11-27,2024-09-13,0.3952,0.2364,0.1588
2023-12-04,2024-09-20,0.4123,0.2479,0.1644
2023-12-11,2024-09-27,0.4465,0.2414,0.2051
