origin,end,strat_ret,idx_ret,excess
2023-07-27,2024-05-13,0.2497,0.1507,0.099
2023-08-03,2024-05-20,0.2491,0.1791,0.07
2023-08-10,2024-05-28,0.2977,0.1873,0.1104
2023-08-17,2024-06-04,0.4017,0.2107,0.191
2023-08-24,2024-06-11,0.4114,0.2283,0.1831
2023-08-31,2024-06-18,0.3766,0.2173,0.1593
2023-09-08,2024-06-26,0.4192,0.2289,0.1902
2023-09-15,2024-07-03,0.4272,0.2442,0.1831
2023-09-22,2024-07-11,0.5645,0.2927,0.2718
2023-09-29,2024-07-18,0.5428,0.293,0.2498
2023-10-06,2024-07-25,0.5599,0.2532,0.3068
2023-10-13,2024-08-01,0.6021,0.2585,0.3435
2023-10-20,2024-08-08,0.5884,0.2593,0.3291
2023-10-27,2024-08-15,0.6622,0.3463,0.3159
2023-11-03,2024-08-22,0.5703,0.2782,0.2921
2023-11-10,2024-08-29,0.5337,0.2665,0.2672
2023-11-17,2024-09-06,0.3461,0.1981,0.1479
2023-11-27,2024-09-13,0.3948,0.2364,0.1584
2023-12-04,2024-09-20,0.4163,0.2479,0.1684
2023-12-11,2024-09-27,0.4431,0.2414,0.2018
