origin,end,strat_ret,idx_ret,excess
2023-07-27,2024-05-13,-0.0214,0.1507,-0.1721
2023-08-03,2024-05-20,0.1921,0.1791,0.0131
2023-08-10,2024-05-28,0.2543,0.1873,0.067
2023-08-17,2024-06-04,0.3381,0.2107,0.1274
2023-08-24,2024-06-11,0.288,0.2283,0.0597
2023-08-31,2024-06-18,0.197,0.2173,-0.0203
2023-09-08,2024-06-26,0.1761,0.2289,-0.0529
2023-09-15,2024-07-03,0.1836,0.2442,-0.0606
2023-09-22,2024-07-11,0.2683,0.2927,-0.0244
2023-09-29,2024-07-18,0.267,0.293,-0.026
2023-10-06,2024-07-25,0.2913,0.2532,0.0382
2023-10-13,2024-08-01,0.334,0.2585,0.0755
2023-10-20,2024-08-08,0.2827,0.2593,0.0234
2023-10-27,2024-08-15,0.4074,0.3463,0.0611
2023-11-03,2024-08-22,0.3549,0.2782,0.0767
2023-11-10,2024-08-29,0.2761,0.2665,0.0096
2023-11-17,2024-09-06,0.1421,0.1981,-0.0561
2023-11-27,2024-09-13,0.2186,0.2364,-0.0178
2023-12-04,2024-09-20,0.247,0.2479,-0.0009
2023-12-11,2024-09-27,0.3375,0.2414,0.0962
