origin,end,strat_ret,idx_ret,excess
2023-07-27,2024-05-13,0.2575,0.1507,0.1067
2023-08-03,2024-05-20,0.3325,0.1791,0.1534
2023-08-10,2024-05-28,0.3354,0.1873,0.1481
2023-08-17,2024-06-04,0.4464,0.2107,0.2356
2023-08-24,2024-06-11,0.5035,0.2283,0.2752
2023-08-31,2024-06-18,0.3988,0.2173,0.1816
2023-09-08,2024-06-26,0.4346,0.2289,0.2057
2023-09-15,2024-07-03,0.4332,0.2442,0.189
2023-09-22,2024-07-11,0.6165,0.2927,0.3238
2023-09-29,2024-07-18,0.6026,0.293,0.3096
2023-10-06,2024-07-25,0.6231,0.2532,0.3699
2023-10-13,2024-08-01,0.6685,0.2585,0.41
2023-10-20,2024-08-08,0.698,0.2593,0.4387
2023-10-27,2024-08-15,0.849,0.3463,0.5027
2023-11-03,2024-08-22,0.7158,0.2782,0.4376
2023-11-10,2024-08-29,0.6909,0.2665,0.4244
2023-11-17,2024-09-06,0.4822,0.1981,0.284
2023-11-27,2024-09-13,0.5815,0.2364,0.3452
2023-12-04,2024-09-20,0.5156,0.2479,0.2677
2023-12-11,2024-09-27,0.5346,0.2414,0.2932
