origin,end,strat_ret,idx_ret,excess
2023-07-27,2024-05-13,0.2711,0.1507,0.1204
2023-08-03,2024-05-20,0.3438,0.1791,0.1647
2023-08-10,2024-05-28,0.383,0.1873,0.1956
2023-08-17,2024-06-04,0.5145,0.2107,0.3038
2023-08-24,2024-06-11,0.5893,0.2283,0.361
2023-08-31,2024-06-18,0.4668,0.2173,0.2495
2023-09-08,2024-06-26,0.4909,0.2289,0.262
2023-09-15,2024-07-03,0.4711,0.2442,0.227
2023-09-22,2024-07-11,0.6632,0.2927,0.3705
2023-09-29,2024-07-18,0.6581,0.293,0.3651
2023-10-06,2024-07-25,0.7256,0.2532,0.4725
2023-10-13,2024-08-01,0.7565,0.2585,0.4979
2023-10-20,2024-08-08,0.7636,0.2593,0.5044
2023-10-27,2024-08-15,0.9077,0.3463,0.5614
2023-11-03,2024-08-22,0.7645,0.2782,0.4863
2023-11-10,2024-08-29,0.7304,0.2665,0.4639
2023-11-17,2024-09-06,0.5171,0.1981,0.319
2023-11-27,2024-09-13,0.6331,0.2364,0.3967
2023-12-04,2024-09-20,0.5687,0.2479,0.3209
2023-12-11,2024-09-27,0.5974,0.2414,0.356
