origin,end,strat_ret,idx_ret,excess
2023-07-27,2024-05-13,0.1799,0.1507,0.0292
2023-08-03,2024-05-20,0.3969,0.1791,0.2178
2023-08-10,2024-05-28,0.4771,0.1873,0.2898
2023-08-17,2024-06-04,0.5764,0.2107,0.3657
2023-08-24,2024-06-11,0.6911,0.2283,0.4628
2023-08-31,2024-06-18,0.5578,0.2173,0.3406
2023-09-08,2024-06-26,0.5487,0.2289,0.3197
2023-09-15,2024-07-03,0.5863,0.2442,0.3421
2023-09-22,2024-07-11,0.6897,0.2927,0.397
2023-09-29,2024-07-18,0.7514,0.293,0.4583
2023-10-06,2024-07-25,0.8042,0.2532,0.551
2023-10-13,2024-08-01,0.7098,0.2585,0.4513
2023-10-20,2024-08-08,0.7248,0.2593,0.4656
2023-10-27,2024-08-15,0.7755,0.3463,0.4292
2023-11-03,2024-08-22,0.671,0.2782,0.3928
2023-11-10,2024-08-29,0.5587,0.2665,0.2922
2023-11-17,2024-09-06,0.5195,0.1981,0.3214
2023-11-27,2024-09-13,0.7138,0.2364,0.4774
2023-12-04,2024-09-20,0.6672,0.2479,0.4193
2023-12-11,2024-09-27,0.7846,0.2414,0.5432
