origin,end,strat_ret,idx_ret,excess
2023-07-27,2024-05-13,0.2266,0.1507,0.0759
2023-08-03,2024-05-20,0.144,0.1791,-0.0351
2023-08-10,2024-05-28,0.1727,0.1873,-0.0147
2023-08-17,2024-06-04,0.2277,0.2107,0.0169
2023-08-24,2024-06-11,0.2583,0.2283,0.0301
2023-08-31,2024-06-18,0.1826,0.2173,-0.0347
2023-09-08,2024-06-26,0.1752,0.2289,-0.0538
2023-09-15,2024-07-03,0.184,0.2442,-0.0602
2023-09-22,2024-07-11,0.2968,0.2927,0.0041
2023-09-29,2024-07-18,0.3085,0.293,0.0154
2023-10-06,2024-07-25,0.3405,0.2532,0.0873
2023-10-13,2024-08-01,0.3534,0.2585,0.0949
2023-10-20,2024-08-08,0.3372,0.2593,0.078
2023-10-27,2024-08-15,0.4228,0.3463,0.0764
2023-11-03,2024-08-22,0.3295,0.2782,0.0513
2023-11-10,2024-08-29,0.3498,0.2665,0.0833
2023-11-17,2024-09-06,0.2096,0.1981,0.0114
2023-11-27,2024-09-13,0.3142,0.2364,0.0778
2023-12-04,2024-09-20,0.3572,0.2479,0.1093
2023-12-11,2024-09-27,0.3926,0.2414,0.1513
