,equity
2024-08-23,100000.0
2024-08-26,100000.0
2024-08-27,100000.0
2024-08-28,100000.0
2024-08-29,100000.0
2024-08-30,100000.0
2024-09-02,100000.0
2024-09-03,100000.0
2024-09-04,100000.0
2024-09-05,100158.85
2024-09-06,98682.0
2024-09-09,99821.25
2024-09-10,100165.2
2024-09-11,101996.5
2024-09-12,103209.55
2024-09-13,103852.8
2024-09-16,104798.8
2024-09-17,103436.05
2024-09-18,102322.8
2024-09-19,99529.85
2024-09-20,100122.45000000001
2024-09-23,100532.20000000001
2024-09-24,101616.4
2024-09-25,100237.0
2024-09-26,100717.25
2024-09-27,102225.70000000001
2024-09-30,101590.35
2024-10-01,101444.29999999999
2024-10-03,98167.25
2024-10-04,99527.75
2024-10-07,94718.95000000001
2024-10-08,97379.25
2024-10-09,100071.8
2024-10-10,102541.0
2024-10-11,102348.04999999999
2024-10-14,102865.75
2024-10-15,105941.25
2024-10-16,105127.45000000001
2024-10-17,103650.84999999999
2024-10-18,102288.15000000001
2024-10-21,103549.85
2024-10-22,99412.54999999999
2024-10-23,99293.6
2024-10-24,101304.6
2024-10-25,97999.2
2024-10-28,97804.85
2024-10-29,99899.3
2024-10-30,100333.55
2024-10-31,103638.95000000001
2024-11-01,103113.84999999999
2024-11-04,99635.6
2024-11-05,99493.65000000001
2024-11-06,101004.0
2024-11-07,99931.6
2024-11-08,98713.8
2024-11-11,98075.45000000001
2024-11-12,97714.54999999999
2024-11-13,95156.55
2024-11-14,96870.85
2024-11-18,96849.05
2024-11-19,96575.85
2024-11-21,96857.95
2024-11-22,96599.75
2024-11-25,98955.75
2024-11-26,97393.85
2024-11-27,97996.8
2024-11-28,97417.0
2024-11-29,99198.25
2024-12-02,96742.65
2024-12-03,96648.5
2024-12-04,97267.4
2024-12-05,95705.6
2024-12-06,94705.95000000001
2024-12-09,93199.3
2024-12-10,93086.4
2024-12-11,92962.65
2024-12-12,92145.85
2024-12-13,93036.75
2024-12-16,93906.29999999999
2024-12-17,94342.35
2024-12-18,94040.05
2024-12-19,93397.25
2024-12-20,96058.29999999999
2024-12-23,98844.85
2024-12-24,100990.2
2024-12-26,103629.85
2024-12-27,101814.1
2024-12-30,101203.3
2024-12-31,101807.7
2025-01-01,103083.25
2025-01-02,102475.45
2025-01-03,102907.9
2025-01-06,103375.2
2025-01-07,109907.25
2025-01-08,107719.9
2025-01-09,104873.65
2025-01-10,103086.8
2025-01-13,98224.15
2025-01-14,99938.75
2025-01-15,101151.99999999999
2025-01-16,100877.5
2025-01-17,99950.9
2025-01-20,101556.79999999999
2025-01-21,97729.34999999999
2025-01-22,94442.9
2025-01-23,96671.34999999999
2025-01-24,95817.35
2025-01-27,91895.09999999999
2025-01-28,91233.45
2025-01-29,92327.15
2025-01-30,92757.9
2025-01-31,93065.7
2025-02-01,92978.29999999999
2025-02-03,92298.09999999999
2025-02-04,93196.79999999999
2025-02-05,94097.4
2025-02-06,94008.09999999999
2025-02-07,94017.59999999999
2025-02-10,92813.0
2025-02-11,92446.29999999999
2025-02-12,93386.79999999999
2025-02-13,92900.4
2025-02-14,91547.59999999999
2025-02-17,91304.4
2025-02-18,90360.09999999999
2025-02-19,90113.09999999999
2025-02-20,90392.4
2025-02-21,90124.5
2025-02-24,90073.2
2025-02-25,90077.0
2025-02-27,89773.0
2025-02-28,89362.59999999999
2025-03-03,89482.29999999999
2025-03-04,89201.09999999999
2025-03-05,91587.5
2025-03-06,92491.9
2025-03-07,93037.2
2025-03-10,93474.2
2025-03-11,93548.29999999999
2025-03-12,94334.9
2025-03-13,94390.0
2025-03-17,94840.29999999999
2025-03-18,94973.29999999999
2025-03-19,95556.59999999999
2025-03-20,95602.2
2025-03-21,96233.0
2025-03-24,95797.9
2025-03-25,95657.29999999999
2025-03-26,95676.29999999999
2025-03-27,95676.29999999999
2025-03-28,95676.29999999999
2025-04-01,95676.29999999999
2025-04-02,95676.29999999999
2025-04-03,95676.29999999999
2025-04-04,95676.29999999999
2025-04-07,95676.29999999999
2025-04-08,95676.29999999999
2025-04-09,95676.29999999999
