,equity
2024-08-23,100000.0
2024-08-26,100000.0
2024-08-27,100000.0
2024-08-28,100000.0
2024-08-29,100000.0
2024-08-30,100000.0
2024-09-02,100000.0
2024-09-03,100000.0
2024-09-04,100000.0
2024-09-05,99458.81999999998
2024-09-06,97465.86000000003
2024-09-09,97103.29000000002
2024-09-10,98053.63
2024-09-11,96708.56000000001
2024-09-12,97469.93000000002
2024-09-13,97709.78000000001
2024-09-16,97581.10000000002
2024-09-17,97228.39
2024-09-18,97147.69000000002
2024-09-19,95454.14000000003
2024-09-20,97354.01999999999
2024-09-23,97838.15999999999
2024-09-24,97528.61000000004
2024-09-25,97268.09999999999
2024-09-26,97028.02000000002
2024-09-27,97492.12000000004
2024-09-30,97232.00000000001
2024-10-01,97324.45999999999
2024-10-03,96944.01000000004
2024-10-04,96526.07
2024-10-07,92788.47
2024-10-08,95856.27000000003
2024-10-09,97331.06999999998
2024-10-10,97588.03000000001
2024-10-11,97503.87999999999
2024-10-14,97037.98999999999
2024-10-15,97476.54999999999
2024-10-16,98279.12000000001
2024-10-17,97045.32000000002
2024-10-18,96408.84
2024-10-21,95243.36000000002
2024-10-22,91620.36
2024-10-23,92372.83000000002
2024-10-24,91806.65000000001
2024-10-25,89387.23000000003
2024-10-28,90098.52000000002
2024-10-29,91665.41000000002
2024-10-30,92882.4
2024-10-31,93522.38000000002
2024-11-01,93946.69000000003
2024-11-04,92083.51
2024-11-05,92732.90000000002
2024-11-06,94832.31999999999
2024-11-07,93782.46000000002
2024-11-08,92093.76000000001
2024-11-11,91587.49
2024-11-12,91547.13
2024-11-13,88912.72999999998
2024-11-14,89737.83
2024-11-18,89801.54
2024-11-19,90132.36000000002
2024-11-21,88589.58999999998
2024-11-22,89080.43
2024-11-25,90672.13000000003
2024-11-26,91563.2
2024-11-27,92866.53999999998
2024-11-28,93566.99000000002
2024-11-29,93956.59999999999
2024-12-02,94594.70999999999
2024-12-03,95542.63
2024-12-04,96163.41
2024-12-05,96397.51000000001
2024-12-06,96417.56999999998
2024-12-09,96122.31
2024-12-10,96316.06000000001
2024-12-11,96281.95
2024-12-12,95756.93999999999
2024-12-13,95808.79000000002
2024-12-16,96017.87000000001
2024-12-17,95539.15999999999
2024-12-18,94657.67999999998
2024-12-19,94711.73
2024-12-20,93926.1
2024-12-23,93507.89
2024-12-24,93645.61999999998
2024-12-26,93548.37999999999
2024-12-27,94207.04000000002
2024-12-30,93252.24999999997
2024-12-31,93765.73
2025-01-01,94393.37
2025-01-02,94679.00000000001
2025-01-03,94402.59999999999
2025-01-06,92176.00000000001
2025-01-07,93616.23
2025-01-08,93728.19
2025-01-09,92581.03
2025-01-10,90572.98
2025-01-13,87289.76
2025-01-14,89546.27999999998
2025-01-15,90156.91
2025-01-16,91099.97000000002
2025-01-17,91405.82999999999
2025-01-20,92254.24999999999
2025-01-21,90699.15999999999
2025-01-22,89378.85999999999
2025-01-23,90111.07
2025-01-24,88964.54
2025-01-27,85564.96
2025-01-28,84398.22
2025-01-29,85236.91000000002
2025-01-30,85174.11999999998
2025-01-31,85482.06999999999
2025-02-01,85351.87000000001
2025-02-03,85014.47
2025-02-04,85707.82
2025-02-05,86172.37000000001
2025-02-06,86164.57
2025-02-07,86144.37
2025-02-10,85653.87000000001
2025-02-11,85418.67000000001
2025-02-12,85639.42000000001
2025-02-13,85185.42000000001
2025-02-14,84687.52000000002
2025-02-17,84514.62
2025-02-18,84222.67
2025-02-19,84629.37000000001
2025-02-20,84490.57
2025-02-21,84465.67000000001
2025-02-24,84337.47
2025-02-25,84598.17000000001
2025-02-27,84523.12000000001
2025-02-28,84130.42000000001
2025-03-03,84317.47
2025-03-04,84156.57
2025-03-05,84750.77
2025-03-06,84825.07
2025-03-07,84776.22000000002
2025-03-10,84831.32
2025-03-11,84649.97000000002
2025-03-12,84916.97
2025-03-13,84928.87000000001
2025-03-17,85052.62000000001
2025-03-18,85112.52000000002
2025-03-19,85343.97
2025-03-20,85409.82
2025-03-21,85449.27
2025-03-24,85409.67000000001
2025-03-25,85373.37000000001
2025-03-26,85395.57
2025-03-27,86090.67000000001
2025-03-28,85507.77
2025-04-01,85365.87000000001
2025-04-02,85490.97
2025-04-03,85531.17000000001
2025-04-04,85341.57
2025-04-07,85442.07
2025-04-08,85345.17000000001
2025-04-09,85307.37000000001
