,equity
2023-07-14,100000.0
2023-07-17,100000.0
2023-07-18,100000.0
2023-07-19,100000.0
2023-07-20,100000.0
2023-07-21,100000.0
2023-07-24,100000.0
2023-07-25,100000.0
2023-07-26,100000.0
2023-07-27,100000.0
2023-07-28,101574.1364030838
2023-07-31,103176.6236000061
2023-08-01,103146.37958192825
2023-08-02,98057.1703505516
2023-08-03,97511.95233917236
2023-08-04,98688.90013313293
2023-08-07,99398.96702623367
2023-08-08,97653.87833786011
2023-08-09,95336.47763156891
2023-08-10,95198.6965546608
2023-08-11,94630.77811288834
2023-08-14,96472.81993198395
2023-08-15,94898.43164563179
2023-08-16,91173.50670719147
2023-08-17,89138.35263776779
2023-08-18,89600.36273241043
2023-08-21,91136.80533194542
2023-08-22,90441.8027818203
2023-08-23,91899.02228736877
2023-08-24,89187.21382856369
2023-08-25,90465.7189002037
2023-08-28,90880.81776809692
2023-08-29,93527.28797197342
2023-08-30,94795.65017032623
2023-08-31,95347.99778676033
2023-09-01,96087.89696860313
2023-09-05,95520.78967547417
2023-09-06,94862.38542366028
2023-09-07,93833.96234893799
2023-09-08,92782.35171318054
2023-09-11,93883.25782752037
2023-09-12,93102.40758705139
2023-09-13,92386.83371806145
2023-09-14,93601.50828766823
2023-09-15,91587.81024193764
2023-09-18,90896.5819683075
2023-09-19,90265.8458135128
2023-09-20,87920.80375647545
2023-09-21,85367.43263936043
2023-09-22,84984.07078194618
2023-09-25,84871.69845175743
2023-09-26,83822.59679913521
2023-09-27,84948.8297650814
2023-09-28,85430.01488995552
2023-09-29,85896.92621064186
2023-10-02,84884.50600862503
2023-10-03,82121.48063468933
2023-10-04,82620.65020036697
2023-10-05,81715.51676654816
2023-10-06,83624.99910736084
2023-10-09,84118.24284434319
2023-10-10,85967.75625514984
2023-10-11,85626.0109615326
2023-10-12,82370.10275387764
2023-10-13,81697.97627282143
2023-10-16,83393.03988265991
2023-10-17,84261.68563842773
2023-10-18,81838.08444476128
2023-10-19,81094.18083357811
2023-10-20,79455.70220351219
2023-10-23,79779.67769908905
2023-10-24,81719.14030504227
2023-10-25,79261.24519991875
2023-10-26,77753.54486107826
2023-10-27,77073.92609596252
2023-10-30,77142.2030119896
2023-10-31,77969.62040805817
2023-11-01,77208.61241340637
2023-11-02,81264.30462121964
2023-11-03,84034.29778242111
2023-11-06,84557.15602207184
2023-11-07,85637.720328331
2023-11-08,85276.60981607437
2023-11-09,83573.77886366844
2023-11-10,84775.65681505203
2023-11-13,84805.13312125206
2023-11-14,90007.39206504822
2023-11-15,91422.62825632095
2023-11-16,90065.41912198067
2023-11-17,90990.17588210106
2023-11-20,92674.98763132095
2023-11-21,91354.56495809555
2023-11-22,91949.53097486496
2023-11-24,92226.52882957458
2023-11-27,92760.45523929596
2023-11-28,93638.23221063614
2023-11-29,94876.66245222092
2023-11-30,94413.68061256409
2023-12-01,97746.26981687546
2023-12-04,99895.16678094864
2023-12-05,99865.75271177292
2023-12-06,99029.94631958008
2023-12-07,99537.5020828247
2023-12-08,100512.1205830574
2023-12-11,100380.13938999176
2023-12-12,100727.01081228256
2023-12-13,105152.40034008026
2023-12-14,107492.10433769226
2023-12-15,107205.2511305809
2023-12-18,106988.96545934677
2023-12-19,109478.08892250061
2023-12-20,106257.29969406128
2023-12-21,108797.8097577095
2023-12-22,108461.8945736885
2023-12-26,109710.15142774582
2023-12-27,111210.91713428497
2023-12-28,111156.0287899971
2023-12-29,109175.54890441895
2024-01-02,107912.50559329987
2024-01-03,103993.50134658813
2024-01-04,104298.2657380104
2024-01-05,104577.22448921204
2024-01-08,107421.02983856201
2024-01-09,106478.98188495636
2024-01-10,107199.28492832184
2024-01-11,105772.82699012756
2024-01-12,103634.99511051178
2024-01-16,103719.78555679321
2024-01-17,103571.33563423157
2024-01-18,104085.56321907043
2024-01-19,104115.43049049377
2024-01-22,105218.31577968597
2024-01-23,104695.39896583557
2024-01-24,103970.25316333771
2024-01-25,103797.01323127747
