,equity
2025-12-17,100000.0
2025-12-18,100000.0
2025-12-19,100000.0
2025-12-22,100000.0
2025-12-23,100000.0
2025-12-24,100000.0
2025-12-26,100000.0
2025-12-29,100000.0
2025-12-30,100000.0
2025-12-31,98917.55873466491
2026-01-02,101053.65928184509
2026-01-05,102665.05788414001
2026-01-06,104781.86910362242
2026-01-07,104733.79906341551
2026-01-08,102584.96807510377
2026-01-09,105051.42858024596
2026-01-12,104972.27861541747
2026-01-13,105501.80876434327
2026-01-14,104716.51912055968
2026-01-15,105798.63823089599
2026-01-16,106407.64816253661
2026-01-20,104313.16960380554
2026-01-21,107782.8689490509
2026-01-22,108337.498331604
2026-01-23,106853.64884162902
2026-01-26,106390.93932403564
2026-01-27,108086.46898857116
2026-01-28,109949.03855491638
2026-01-29,108662.34855407715
2026-01-30,105220.36897628783
2026-02-02,106502.45875785827
2026-02-03,103760.79975364685
2026-02-04,100757.32409004211
2026-02-05,99642.12426277158
2026-02-06,103641.13343360901
2026-02-09,104245.5336440277
2026-02-10,104659.79319374084
2026-02-11,106968.3936754608
2026-02-12,104969.57348518372
2026-02-13,105924.85365074157
2026-02-17,105549.9738166046
2026-02-18,106534.13473091125
2026-02-19,105982.82388008117
2026-02-20,106288.16475212097
2026-02-23,104585.91426017761
2026-02-24,106071.42417732238
2026-02-25,107167.62430747984
2026-02-26,105470.06231770325
2026-02-27,104603.19248814392
2026-03-02,104063.29189160155
2026-03-03,101170.31160786438
2026-03-04,102663.90236019898
2026-03-05,102277.26060360718
2026-03-06,99521.62171574401
2026-03-09,101493.37138531494
2026-03-10,101997.37097576902
2026-03-11,102822.08165242003
2026-03-12,100012.65191448973
2026-03-13,99862.95167111205
2026-03-16,101217.23685902404
2026-03-17,101622.42685902405
2026-03-18,101377.52685902404
2026-03-19,101630.59685902405
2026-03-20,101346.63685902403
2026-03-23,101698.91685902403
2026-03-24,101554.29685902403
2026-03-25,101421.38685902403
2026-03-26,101489.36685902404
2026-03-27,101221.36685902404
2026-03-30,101135.54685902405
2026-03-31,101210.85685902405
2026-04-01,101202.28685902404
2026-04-02,101382.06685902405
2026-04-06,101430.22685902404
2026-04-07,101911.81685902405
2026-04-08,102128.30685902404
2026-04-09,101732.54685902405
2026-04-10,101348.57685902403
2026-04-13,101816.26685902405
2026-04-14,101436.63685902403
2026-04-15,101587.47685902404
2026-04-16,102112.40685902403
2026-04-17,102154.21685902405
2026-04-20,102483.91685902404
2026-04-21,102685.91685902403
2026-04-22,102938.37685902405
2026-04-23,102605.33685902406
2026-04-24,101294.11685902404
2026-04-27,101251.39685902404
2026-04-28,101201.31685902404
2026-04-29,100890.01685902404
2026-04-30,100830.27685902404
2026-05-01,100974.33685902406
2026-05-04,101177.21685902405
2026-05-05,101305.99685902405
2026-05-06,101160.99685902405
2026-05-07,101688.09685902405
2026-05-08,101596.46685902405
2026-05-11,101596.46685902405
2026-05-12,101596.46685902405
2026-05-13,101596.46685902405
2026-05-14,101596.46685902405
2026-05-15,101596.46685902405
2026-05-18,101596.46685902405
2026-05-19,101596.46685902405
2026-05-20,101596.46685902405
2026-05-21,101596.46685902405
2026-05-22,101596.46685902405
