step,date,ticker,kind,p_today,anchor_close,close,shares_before,shares_after,notional_f,trigger
13,2025-12-30,NASDAQ:AAPL,entry,0.047091770788453266,273.08,273.08,0.0,18.309652848981983,0.05,
13,2025-12-30,NASDAQ:AMAT,entry,0.047091770788453266,259.97,259.97,0.0,19.232988421740966,0.05,
13,2025-12-30,NASDAQ:AMD,entry,0.047091770788453266,215.34,215.34,0.0,23.219095384043836,0.05,
13,2025-12-30,NASDAQ:AVGO,entry,0.047091770788453266,349.85,349.85,0.0,14.291839359725596,0.05,
13,2025-12-30,NASDAQ:BKNG,entry,0.047091770788453266,5427.15,5427.15,0.0,0.9212938651041523,0.05,
13,2025-12-30,NASDAQ:CRWD,entry,0.047091770788453266,475.63,475.63,0.0,10.512373063095263,0.05,
13,2025-12-30,NASDAQ:DDOG,entry,0.047091770788453266,137.48,137.48,0.0,36.36892638929299,0.05,
13,2025-12-30,NASDAQ:INTC,entry,0.047091770788453266,37.29999923706055,37.29999923706055,0.0,134.04826011449614,0.05,
13,2025-12-30,NASDAQ:KLAC,entry,0.047091770788453266,1243.6500244140625,1243.6500244140625,0.0,4.0204236737386925,0.05,
13,2025-12-30,NASDAQ:LRCX,entry,0.047091770788453266,173.77999877929688,173.77999877929688,0.0,28.772010790206487,0.05,
13,2025-12-30,NASDAQ:LULU,entry,0.047091770788453266,210.6699981689453,210.6699981689453,0.0,23.733801886637345,0.05,
13,2025-12-30,NASDAQ:MCHP,entry,0.047091770788453266,64.68000030517578,64.68000030517578,0.0,77.30364836748298,0.05,
13,2025-12-30,NASDAQ:MU,entry,0.047091770788453266,292.6300048828125,292.6300048828125,0.0,17.086422843078978,0.05,
13,2025-12-30,NASDAQ:NVDA,entry,0.047091770788453266,187.5399932861328,187.5399932861328,0.0,26.660979945602424,0.05,
13,2025-12-30,NASDAQ:ON,entry,0.047091770788453266,54.2400016784668,54.2400016784668,0.0,92.18288800284077,0.05,
13,2025-12-30,NASDAQ:SNPS,entry,0.047091770788453266,474.489990234375,474.489990234375,0.0,10.53763009316644,0.05,
13,2025-12-30,NASDAQ:TSLA,entry,0.047091770788453266,454.42999267578125,454.42999267578125,0.0,11.002794887192476,0.05,
13,2025-12-30,NASDAQ:TTD,entry,0.047091770788453266,38.119998931884766,38.119998931884766,0.0,131.16474659231542,0.05,
13,2025-12-30,NASDAQ:WBD,entry,0.047091770788453266,28.940000534057617,28.940000534057617,0.0,172.77124767554247,0.05,
13,2025-12-30,NYSE:AES,entry,0.047091770788453266,14.5,14.5,0.0,206.89655172413794,0.049999999999999684,
36,2026-02-03,NASDAQ:TTD,exit,0.047091770788453266,38.119998931884766,27.18000030517578,131.0,0.0,,DD
36,2026-02-03,NASDAQ:BKR,entry,0.047091770788453266,58.0,58.0,0.0,89.44896530486798,0.05,
49,2026-02-23,NASDAQ:CRWD,exit,0.047091770788453266,475.63,350.33,10.0,0.0,,DD
49,2026-02-23,NASDAQ:DDOG,exit,0.047091770788453266,137.48,102.615,36.0,0.0,,DD
49,2026-02-23,NASDAQ:CHTR,entry,0.047091770788453266,227.52,227.52,0.0,22.98389465984916,0.05,
49,2026-02-23,NASDAQ:CSCO,entry,0.047091770788453266,77.74,77.74,0.0,16.60311779801439,0.05,
51,2026-02-25,NASDAQ:AMAT,exit,0.047091770788453266,259.97,394.95,19.0,0.0,,target
51,2026-02-25,NASDAQ:CRWD,entry,0.047091770788453266,363.31,363.31,0.0,14.748785377154476,0.05,
63,2026-03-13,NASDAQ:AAPL,exit,,273.08,250.12,18.0,0.0,,horizon
63,2026-03-13,NASDAQ:AMD,exit,,215.34,193.39,23.0,0.0,,horizon
63,2026-03-13,NASDAQ:AVGO,exit,,349.85,322.16,14.0,0.0,,horizon
63,2026-03-13,NASDAQ:INTC,exit,,37.29999923706055,45.77000045776367,134.0,0.0,,horizon
63,2026-03-13,NASDAQ:KLAC,exit,,1243.6500244140625,1418.6400146484375,4.0,0.0,,horizon
63,2026-03-13,NASDAQ:LRCX,exit,,173.77999877929688,212.1999969482422,28.0,0.0,,horizon
63,2026-03-13,NASDAQ:LULU,exit,,210.6699981689453,157.77999877929688,23.0,0.0,,DD
63,2026-03-13,NASDAQ:MCHP,exit,,64.68000030517578,61.939998626708984,77.0,0.0,,horizon
63,2026-03-13,NASDAQ:MU,exit,,292.6300048828125,426.1300048828125,17.0,0.0,,horizon
63,2026-03-13,NASDAQ:NVDA,exit,,187.5399932861328,180.25,26.0,0.0,,horizon
63,2026-03-13,NASDAQ:ON,exit,,54.2400016784668,58.54999923706055,92.0,0.0,,horizon
63,2026-03-13,NASDAQ:SNPS,exit,,474.489990234375,412.6300048828125,10.0,0.0,,horizon
63,2026-03-13,NASDAQ:TSLA,exit,,454.42999267578125,391.20001220703125,11.0,0.0,,horizon
63,2026-03-13,NASDAQ:WBD,exit,,28.940000534057617,27.139999389648438,172.0,0.0,,horizon
63,2026-03-13,NYSE:AES,exit,,14.5,14.1899995803833,206.0,0.0,,horizon
86,2026-04-16,NASDAQ:BKR,exit,,58.0,60.6,89.0,0.0,,horizon
95,2026-04-29,NASDAQ:CHTR,exit,,227.52,158.65,22.0,0.0,,DD
99,2026-05-05,NASDAQ:CSCO,exit,,77.74,94.3,16.0,0.0,,horizon
101,2026-05-07,NASDAQ:CRWD,exit,,363.31,505.72,14.0,0.0,,horizon
