,equity
2024-09-23,100000.0
2024-09-24,100000.0
2024-09-25,100000.0
2024-09-26,100000.0
2024-09-27,100000.0
2024-09-30,100000.0
2024-10-01,100000.0
2024-10-02,100000.0
2024-10-03,100000.0
2024-10-04,100000.0
2024-10-07,100106.41
2024-10-08,100938.60988647463
2024-10-09,102809.98883850098
2024-10-10,103198.86344749451
2024-10-11,104833.3979386139
2024-10-14,105886.8991017914
2024-10-15,101350.94900314332
2024-10-16,101211.239068985
2024-10-17,100783.41941703798
2024-10-18,102299.18911270142
2024-10-21,102136.13855422975
2024-10-22,102192.01871513369
2024-10-23,100765.70889938355
2024-10-24,102608.78822952272
2024-10-25,103159.9290335083
2024-10-28,103620.32322914124
2024-10-29,104973.01804252625
2024-10-30,103548.34893264771
2024-10-31,100963.20871658326
2024-11-01,102679.47986557009
2024-11-04,102138.22944351197
2024-11-05,104095.97932312012
2024-11-06,107938.82835281373
2024-11-07,110513.87918792726
2024-11-08,111167.86884918215
2024-11-11,110114.79812103271
2024-11-12,109962.96739410402
2024-11-13,109145.90847839355
2024-11-14,108674.38789794923
2024-11-15,105584.8832598877
2024-11-18,105915.97259613036
2024-11-19,105915.98254180909
2024-11-20,105785.62396392823
2024-11-21,108115.27332641602
2024-11-22,108127.45298858642
2024-11-25,109148.37311981202
2024-11-26,108706.17296447755
2024-11-27,106887.30250366211
2024-11-29,108149.3822647095
2024-12-02,110114.8787765503
2024-12-03,109967.79250610352
2024-12-04,113410.382789917
2024-12-05,110223.62255096436
2024-12-06,110934.96274017335
2024-12-09,108873.29243652345
2024-12-10,106276.56297332764
2024-12-11,109074.16354187013
2024-12-12,107912.9127886963
2024-12-13,109204.41367980959
2024-12-16,110786.21348266603
2024-12-17,109339.22329162598
2024-12-18,105380.97304504395
2024-12-19,102617.99189941406
2024-12-20,104988.81374420167
2024-12-23,105638.1188180542
2024-12-24,106992.38789154052
2024-12-26,106802.34731719972
2024-12-27,105612.4275894165
2024-12-30,103441.56808471681
2024-12-31,103112.44277648926
2025-01-02,104171.43273040772
2025-01-03,106678.33296569827
2025-01-06,108241.2632736206
2025-01-07,106981.57298950196
2025-01-08,106647.99275207521
2025-01-10,104101.9728076172
2025-01-13,103745.76244964599
2025-01-14,104043.01270965576
2025-01-15,106292.99331665039
2025-01-16,107467.59343078615
2025-01-17,109706.70343597412
2025-01-21,111182.36250671388
2025-01-22,112233.99400207521
2025-01-23,111502.91273742676
2025-01-24,110923.10239013672
2025-01-27,105695.05247802736
2025-01-28,106268.88225158694
2025-01-29,106198.26212188722
2025-01-30,107882.44303405761
2025-01-31,107709.58283996585
2025-02-03,107053.83223846435
2025-02-04,108097.643598938
2025-02-05,109381.02276916505
2025-02-06,109506.09271362305
2025-02-07,108468.37307647706
2025-02-10,110084.12759552003
2025-02-11,110364.50740844726
2025-02-12,110058.19691314697
2025-02-13,111546.93818206788
2025-02-14,110643.2371020508
2025-02-18,113773.8178479004
2025-02-19,113593.40758018494
2025-02-20,113520.93731842042
2025-02-21,110550.3071736908
2025-02-24,109257.41769836427
2025-02-25,106878.06692817688
2025-02-26,108426.10766326904
2025-02-27,104658.73706359864
2025-02-28,105933.07659332277
2025-03-03,103397.54718574525
2025-03-04,102802.05767967223
2025-03-05,104458.42729377748
2025-03-06,100512.14724380492
2025-03-07,102074.14683334352
2025-03-10,98499.4170539856
2025-03-11,97631.38795356752
2025-03-12,99505.4771235657
2025-03-13,99595.2076779175
2025-03-14,102698.9074545288
2025-03-17,104406.53711509706
2025-03-18,103613.17757331849
2025-03-19,104383.8173439789
2025-03-20,104595.26766334534
2025-03-21,103625.33706474304
2025-03-24,105687.03689048768
2025-03-25,105363.48718727112
2025-03-26,103745.746884079
2025-03-27,102315.56769462588
