,equity
2024-09-23,100000.0
2024-09-24,100000.0
2024-09-25,100000.0
2024-09-26,100000.0
2024-09-27,100000.0
2024-09-30,100000.0
2024-10-01,100000.0
2024-10-02,100000.0
2024-10-03,100000.0
2024-10-04,100000.0
2024-10-07,100026.75985595703
2024-10-08,100528.2207284546
2024-10-09,101494.4192199707
2024-10-10,101421.81948955536
2024-10-11,102680.15932823182
2024-10-14,103697.51073863983
2024-10-15,99020.74063026428
2024-10-16,99325.90030933381
2024-10-17,98763.88024942398
2024-10-18,100102.73027219772
2024-10-21,100158.80047382355
2024-10-22,99552.91985025405
2024-10-23,97988.71955963134
2024-10-24,101512.9799115181
2024-10-25,102633.92974466324
2024-10-28,103301.16004961013
2024-10-29,104665.74900531769
2024-10-30,102590.83940523147
2024-10-31,100138.77982875824
2024-11-01,101026.54000801087
2024-11-04,100069.91067245483
2024-11-05,102364.59074825287
2024-11-06,106927.39956302644
2024-11-07,110980.21058452607
2024-11-08,111044.64097801209
2024-11-11,110542.27919944763
2024-11-12,110105.24925239563
2024-11-13,108757.94995605468
2024-11-14,108708.30881061553
2024-11-15,105159.90989719391
2024-11-18,107496.20973155976
2024-11-19,108914.04904060364
2024-11-20,110321.45962223053
2024-11-21,111603.6194342041
2024-11-22,112338.47951400757
2024-11-25,112916.86912918091
2024-11-26,110842.41912502289
2024-11-27,110401.1887681961
2024-11-29,111588.98836761474
2024-12-02,113252.13467365266
2024-12-03,111916.86845859527
2024-12-04,114999.34882026672
2024-12-05,112680.78870849608
2024-12-06,113131.15838867187
2024-12-09,111515.92892959593
2024-12-10,109137.32889381408
2024-12-11,111433.59984039306
2024-12-12,110248.01905609132
2024-12-13,110382.65932350159
2024-12-16,111263.08984817505
2024-12-17,109517.09912338256
2024-12-18,105639.72899909972
2024-12-19,103150.67846206664
2024-12-20,104947.74977043152
2024-12-23,105820.86959831238
2024-12-24,106981.1590182495
2024-12-26,106452.74798049928
2024-12-27,105350.8490978241
2024-12-30,103219.02931282044
2024-12-31,102455.38847602844
2025-01-02,103760.77893035888
2025-01-03,106958.23919921875
2025-01-06,109507.69988113405
2025-01-07,107583.13937973023
2025-01-08,106376.96972732544
2025-01-10,103652.82889709473
2025-01-13,103386.42877220153
2025-01-14,104125.98914115908
2025-01-15,106172.84960250855
2025-01-16,106857.72988998414
2025-01-17,110291.07005584717
2025-01-21,111080.34879051209
2025-01-22,111861.960263443
2025-01-23,111170.16879173278
2025-01-24,109829.84867874146
2025-01-27,102551.79918800356
2025-01-28,103380.9890320587
2025-01-29,103073.20895713806
2025-01-30,104266.96994812011
2025-01-31,104102.41979774473
2025-02-03,103494.1485005188
2025-02-04,103736.3903160858
2025-02-05,105813.58943740846
2025-02-06,106152.9385922241
2025-02-07,104726.0095083618
2025-02-10,106594.59982444764
2025-02-11,106194.42948318482
2025-02-12,106194.07867378235
2025-02-13,107619.99928482056
2025-02-14,108096.04983963013
2025-02-18,110854.32439567566
2025-02-19,110408.86946235657
2025-02-20,110477.28933326721
2025-02-21,107050.7685445404
2025-02-24,104876.22990608215
2025-02-25,101794.6686794281
2025-02-26,103463.4043044281
2025-02-27,99301.28425102231
2025-02-28,101384.12280738831
2025-03-03,98556.21346778871
2025-03-04,98985.50382041931
2025-03-05,101286.8036302948
2025-03-06,95950.12307884217
2025-03-07,96930.69389060973
2025-03-10,91687.27432518004
2025-03-11,92008.73462165832
2025-03-12,94202.98330268859
2025-03-13,94522.84458229065
2025-03-14,97900.89366996766
2025-03-17,99002.55348953248
2025-03-18,97866.25427635192
2025-03-19,98814.73416694641
2025-03-20,98679.78411529542
2025-03-21,98055.36365608216
2025-03-24,100624.3339264679
2025-03-25,100687.59918502807
2025-03-26,98741.44873619081
