,equity
2024-09-23,100000.0
2024-09-24,100000.0
2024-09-25,100000.0
2024-09-26,100000.0
2024-09-27,100000.0
2024-09-30,100000.0
2024-10-01,100000.0
2024-10-02,100000.0
2024-10-03,100000.0
2024-10-04,100000.0
2024-10-07,100086.82983154297
2024-10-08,100611.04056243898
2024-10-09,101976.66921020507
2024-10-10,102486.62919769288
2024-10-11,104437.93898712158
2024-10-14,105523.22001800538
2024-10-15,100815.25034545898
2024-10-16,100804.33952575683
2024-10-17,100309.47952636718
2024-10-18,101987.60937438965
2024-10-21,102408.87925842285
2024-10-22,102218.80930725098
2024-10-23,100513.04945922852
2024-10-24,102570.29953094482
2024-10-25,103088.70930206298
2024-10-28,103760.29878112793
2024-10-29,105090.53912475586
2024-10-30,103553.22921447754
2024-10-31,100650.20929748536
2024-11-01,101585.12979431152
2024-11-04,100775.01020080567
2024-11-05,102722.46011260987
2024-11-06,106038.59889648437
2024-11-07,109214.9503276062
2024-11-08,109629.85106704713
2024-11-11,111009.58919784546
2024-11-12,111122.42820907594
2024-11-13,109782.09945884705
2024-11-14,109613.01826194764
2024-11-15,106075.36949699401
2024-11-18,106413.76925735474
2024-11-19,106638.02864028931
2024-11-20,106957.62063392639
2024-11-21,109719.09946144104
2024-11-22,109668.76901031494
2024-11-25,110636.27928627015
2024-11-26,110253.29822708131
2024-11-27,108650.79857002258
2024-11-29,109839.50897384643
2024-12-02,112195.20569641114
2024-12-03,112446.80888587952
2024-12-04,115677.99871246338
2024-12-05,112117.56845199584
2024-12-06,113022.34946342467
2024-12-09,111949.64886619568
2024-12-10,109376.43943161011
2024-12-11,111859.14019416808
2024-12-12,110447.57876060487
2024-12-13,109906.04945907593
2024-12-16,110513.21916542054
2024-12-17,109992.29976112366
2024-12-18,105834.00945571899
2024-12-19,103274.44820579528
2024-12-20,105479.93993331908
2024-12-23,105601.8893800354
2024-12-24,106787.58927284241
2024-12-26,106304.51786872864
2024-12-27,105150.42859176637
2024-12-30,103124.59916534423
2024-12-31,102748.91887039183
2025-01-02,104058.00885688781
2025-01-03,106472.69905540465
2025-01-06,109120.30950172423
2025-01-07,107796.02942451477
2025-01-08,107450.4583959198
2025-01-10,105783.70892524718
2025-01-13,105166.78865066529
2025-01-14,105070.98902297973
2025-01-15,107368.78944923401
2025-01-16,108692.19933433532
2025-01-17,110732.08949363709
2025-01-21,112296.37884597777
2025-01-22,113163.7000793457
2025-01-23,112290.30913177489
2025-01-24,111598.53834999085
2025-01-27,107350.95877349853
2025-01-28,108746.52917556762
2025-01-29,108495.35809112548
2025-01-30,110278.23975654603
2025-01-31,109770.9192263794
2025-02-03,109169.54932273863
2025-02-04,109828.55022521972
2025-02-05,110838.71899909973
2025-02-06,111191.63868583678
2025-02-07,110832.21958580018
2025-02-10,112708.09012008668
2025-02-11,112478.59886451722
2025-02-12,112350.45866470336
2025-02-13,111891.14903587342
2025-02-14,111450.4392827606
2025-02-18,114343.96445983887
2025-02-19,113558.44960273744
2025-02-20,113519.76972549439
2025-02-21,110345.24863471984
2025-02-24,108968.09970504761
2025-02-25,106737.76883842467
2025-02-26,108447.29972000122
2025-02-27,104772.44911300659
2025-02-28,106184.66859024047
2025-03-03,103128.6288420868
2025-03-04,102413.03958869934
2025-03-05,103731.27912834167
2025-03-06,99254.28914245605
2025-03-07,100252.88883865357
2025-03-10,95146.83936676025
2025-03-11,94749.3207875824
2025-03-12,96524.4092514038
2025-03-13,95953.84991806031
2025-03-14,98756.05920257568
2025-03-17,100067.71927566528
2025-03-18,98927.86986808777
2025-03-19,99405.91944557191
2025-03-20,99060.51003295898
2025-03-21,98393.84914863587
2025-03-24,100459.3087525177
2025-03-25,100259.19975753783
2025-03-26,98527.05893363952
