,equity
2024-09-23,100000.0
2024-09-24,100000.0
2024-09-25,100000.0
2024-09-26,100000.0
2024-09-27,100000.0
2024-09-30,100000.0
2024-10-01,100000.0
2024-10-02,100000.0
2024-10-03,100000.0
2024-10-04,100000.0
2024-10-07,99894.1
2024-10-08,100481.01000000002
2024-10-09,101701.59927001955
2024-10-10,102734.78841987613
2024-10-11,103214.09916160585
2024-10-14,103930.66974525453
2024-10-15,98993.24939315798
2024-10-16,99357.66913108827
2024-10-17,99684.30899147036
2024-10-18,100154.74918289186
2024-10-21,100216.26934402468
2024-10-22,99641.30924476625
2024-10-23,98090.58951858523
2024-10-24,99562.45940963746
2024-10-25,100247.25943969729
2024-10-28,100090.93876243592
2024-10-29,101986.7084238434
2024-10-30,99782.45824386599
2024-10-31,96811.20870773317
2024-11-01,97589.05963027957
2024-11-04,97137.80968643191
2024-11-05,98624.3992593384
2024-11-06,101530.26846511842
2024-11-07,103751.59023529055
2024-11-08,103765.97981994631
2024-11-11,103010.14888336184
2024-11-12,102934.98914337161
2024-11-13,101963.8289530945
2024-11-14,101784.84898147585
2024-11-15,99155.21971237185
2024-11-18,99865.10934600834
2024-11-19,100580.15931182864
2024-11-20,100657.44942276004
2024-11-21,102638.1692292786
2024-11-22,103214.20916656498
2024-11-25,104202.63975540163
2024-11-26,103426.4392266846
2024-11-27,101633.56837051394
2024-11-29,102636.59869079593
2024-12-02,104527.33462707524
2024-12-03,104184.32767196657
2024-12-04,105461.24893066408
2024-12-05,103667.90861907964
2024-12-06,104340.81841781618
2024-12-09,103108.3185237122
2024-12-10,100881.60870727542
2024-12-11,103373.72957382206
2024-12-12,102599.94925094607
2024-12-13,103986.40930603031
2024-12-16,106250.42973892213
2024-12-17,105615.1588346863
2024-12-18,101631.88862457278
2024-12-19,99730.50846450808
2024-12-20,101527.69928344729
2024-12-23,102654.98935302735
2024-12-24,103405.2690388489
2024-12-26,103135.85819381716
2024-12-27,102078.28836822514
2024-12-30,100346.76901824954
2024-12-31,99561.58924087528
2025-01-02,100210.98921340944
2025-01-03,102898.14920806888
2025-01-06,104588.67965866091
2025-01-07,103139.27874694826
2025-01-08,101967.35942291263
2025-01-10,99503.98879608157
2025-01-13,98791.38897323611
2025-01-14,99118.26895736696
2025-01-15,101405.47968444828
2025-01-16,102319.57953002932
2025-01-17,104132.65980010989
2025-01-21,105935.22896377566
2025-01-22,107425.1998954773
2025-01-23,106496.14950149538
2025-01-24,105724.54892333987
2025-01-27,100250.30924148561
2025-01-28,102242.97953842166
2025-01-29,101178.64920883182
2025-01-30,103035.90957641604
2025-01-31,102306.93930404667
2025-02-03,101574.99890716554
2025-02-04,102726.28492507937
2025-02-05,104248.81452606202
2025-02-06,104541.81349243168
2025-02-07,104081.42458282474
2025-02-10,106019.06482742312
2025-02-11,106245.8996905518
2025-02-12,106387.86877029424
2025-02-13,107933.38927825932
2025-02-14,107610.56932434086
2025-02-18,110466.69879623417
2025-02-19,109549.27919860843
2025-02-20,109062.27880996707
2025-02-21,105602.47833129886
2025-02-24,103757.59910385135
2025-02-25,101130.22886260989
2025-02-26,102887.26960281376
2025-02-27,99223.75907791143
2025-02-28,100688.51815261843
2025-03-03,97916.37856079104
2025-03-04,97820.16922973636
2025-03-05,98223.779133606
2025-03-06,95460.47908248907
2025-03-07,96396.16892318729
2025-03-10,92066.93941116337
2025-03-11,91870.21947540288
2025-03-12,93804.40852249147
2025-03-13,93615.38983352664
2025-03-14,96434.40895095828
2025-03-17,97662.05905090335
2025-03-18,96636.52959693912
2025-03-19,97295.17876213076
2025-03-20,97225.56885604862
2025-03-21,96233.65906364445
2025-03-24,98371.22881187443
2025-03-25,98261.50422027592
2025-03-26,96130.01430458073
