,equity
2024-09-23,100000.0
2024-09-24,100000.0
2024-09-25,100000.0
2024-09-26,100000.0
2024-09-27,100000.0
2024-09-30,100000.0
2024-10-01,100000.0
2024-10-02,100000.0
2024-10-03,100000.0
2024-10-04,100000.0
2024-10-07,100037.69
2024-10-08,101037.6098864746
2024-10-09,101993.62901702881
2024-10-10,102301.18887252809
2024-10-11,102069.31958602906
2024-10-14,103249.17019943238
2024-10-15,97559.93995819092
2024-10-16,97827.06949905396
2024-10-17,98190.01927886964
2024-10-18,98629.79938209534
2024-10-21,98599.0298566437
2024-10-22,97973.22959533692
2024-10-23,96678.74960762025
2024-10-24,99641.84009620667
2024-10-25,100552.80985374452
2024-10-28,100112.79940750122
2024-10-29,102084.24840759278
2024-10-30,99729.80819129944
2024-10-31,96559.45924171447
2024-11-01,97507.79982643129
2024-11-04,96640.58989784241
2024-11-05,98708.73966758729
2024-11-06,102322.20875801088
2024-11-07,104685.54069770814
2024-11-08,104859.55021705627
2024-11-11,104472.05922401429
2024-11-12,103513.25921791076
2024-11-13,102226.92901611328
2024-11-14,101806.54911254885
2024-11-15,99093.5400567627
2024-11-18,100499.83970741273
2024-11-19,100863.95955268861
2024-11-20,100592.8800617981
2024-11-21,101985.79983413697
2024-11-22,102389.53949089051
2024-11-25,102931.37999191285
2024-11-26,101893.40970558167
2024-11-27,100362.48939224244
2024-11-29,101665.15958198547
2024-12-02,103917.3553224945
2024-12-03,103302.24822860718
2024-12-04,103847.78895652771
2024-12-05,102290.6887299347
2024-12-06,103090.99952850342
2024-12-09,102196.75931793214
2024-12-10,99927.34449378969
2024-12-11,102131.84074661256
2024-12-12,101275.08985168458
2024-12-13,102795.70028175355
2024-12-16,104938.19086776735
2024-12-17,104357.60969375612
2024-12-18,100418.21988746645
2024-12-19,98256.23951782228
2024-12-20,100013.74998054506
2024-12-23,101717.61997718812
2024-12-24,102561.3806666565
2024-12-26,102623.64916427614
2024-12-27,101591.32960121156
2024-12-30,99718.19006492615
2024-12-31,99058.45961387634
2025-01-02,99739.869985199
2025-01-03,102093.62997177125
2025-01-06,104159.99058120728
2025-01-07,102807.50994323731
2025-01-08,101916.2805192566
2025-01-10,99562.25958129884
2025-01-13,99410.2492629242
2025-01-14,99948.33999488832
2025-01-15,101940.18034759522
2025-01-16,102707.28015731812
2025-01-17,104761.4505860901
2025-01-21,106249.58978004457
2025-01-22,107451.87038139344
2025-01-23,106737.40990760805
2025-01-24,105288.98987930299
2025-01-27,99927.28995155336
2025-01-28,101398.0497997284
2025-01-29,100569.26971351625
2025-01-30,102194.68044036867
2025-01-31,101511.97003181459
2025-02-03,100546.08518768311
2025-02-04,101708.64105400087
2025-02-05,102980.49050765994
2025-02-06,103202.42986328127
2025-02-07,102015.26052185059
2025-02-10,104032.49120155336
2025-02-11,104161.61064559939
2025-02-12,104567.50971336364
2025-02-13,105690.139659729
2025-02-14,105776.51021209719
2025-02-18,108533.76990882875
2025-02-19,109389.23003707889
2025-02-20,109584.15049766543
2025-02-21,106214.8689555359
2025-02-24,104139.92054527282
2025-02-25,101376.34960556032
2025-02-26,103228.59044914244
2025-02-27,98342.22968681337
2025-02-28,99684.68954551697
2025-03-03,96614.0800454712
2025-03-04,96441.94005996705
2025-03-05,97282.47019622805
2025-03-06,94014.12984992983
2025-03-07,95630.30016990662
2025-03-10,90682.06010658265
2025-03-11,90887.02066238405
2025-03-12,93505.45966087343
2025-03-13,93472.05053077699
2025-03-14,96608.56473014831
2025-03-17,98349.77933074952
2025-03-18,97245.50998573305
2025-03-19,98139.27001808168
2025-03-20,97524.48028167727
2025-03-21,96726.16947059633
2025-03-24,99142.67971687319
2025-03-25,98651.09026260377
2025-03-26,96235.9495503998
2025-03-27,94625.67013908387
