regime,raw_threshold,total,excess,dd,entries,tgt,days
bull_2026H1,0.0,0.6711494701513672,0.6061082976374719,-0.1544375070250944,10,2,114
bull_2026H1,0.05,1.0384248386874386,0.9733836661735433,-0.17332631832142698,10,4,114
bull_2026H1,0.08,1.1846783300842283,1.119637157570333,-0.1847898682978344,11,5,114
bull_2026H1,0.1,1.2628454178466795,1.1978042453327842,-0.202501218740339,11,5,114
bull_2026H1,0.12,1.2804366970382688,1.2153955245243735,-0.20350563699985558,11,5,104
bull_2026H1,0.15,0.026466612040710435,-0.03857456047318486,-0.3201609168328057,10,3,85
bull_2026H1,0.2,0.1276121926879883,0.06062206984308438,-0.10556194948561315,6,2,70
bear_2022,0.0,-0.09249121959075945,0.08167310092476598,-0.32834334748541216,15,0,209
bear_2022,0.05,-0.2601143286159515,-0.08595000810042608,-0.32065949454586606,16,0,202
bear_2022,0.08,-0.35546419117622385,-0.18129987066069841,-0.45817798948791977,17,0,182
bear_2022,0.1,-0.30700464390411375,-0.1328403233885883,-0.33879828523347655,17,0,160
bear_2022,0.12,-0.18366678329734798,0.0026027738989408133,-0.2937752172590399,15,0,135
bear_2022,0.15,0.23112148544769306,0.4041415157513504,-0.21196290557426511,11,0,118
bull_2026H1_CALIBRATED_thr0.10,0.1,0.0,-0.0650411725138953,0.0,0,0,0
