model,uni,tau,base_ret,gate_ret,d_ret,base_exc,gate_exc,base_dd,gate_dd,base_ent,gate_ent,base_tgt,gate_tgt
nasdaq100_up_10pct_50d_dd5pct_agentloop_v1.3_revalidation_regen,nasdaq100,0.2875,0.123,0.123,0.0,-0.13,-0.13,-0.052,-0.052,9,9,5,5
nasdaq100_up_10pct_50d_dd5pct_b_acceptance_agent,nasdaq100,0.2735,0.373,0.373,0.0,0.004,0.004,-0.059,-0.059,13,13,5,5
nifty500_up_10pct_25d_dd5pct_aligned,nifty500,0.0025,-0.075,-0.075,0.0,0.087,0.087,-0.159,-0.159,37,37,11,11
russell1000_up_40pct_100d_dd20pct_aligned_agent_v14p1,russell1000,0.1289,0.696,0.696,0.0,0.462,0.462,-0.314,-0.314,22,22,9,9
russell1000_up_40pct_200d_dd20pct_aligned_agent,russell1000,0.2905,0.798,0.798,-0.0,0.396,0.396,-0.243,-0.243,14,14,9,9
russell1000_up_40pct_200d_dd20pct_aligned_cbagent,russell1000,0.304,1.291,1.291,-0.001,0.889,0.888,-0.164,-0.164,18,18,10,10
russell1000_up_50pct_200d_dd25pct_aligned_agent,russell1000,0.2506,0.969,0.965,-0.004,0.567,0.563,-0.194,-0.194,12,12,6,6
russell1000_up_50pct_200d_dd25pct_aligned_agent_v14p1,russell1000,0.2613,0.491,0.49,-0.002,0.089,0.087,-0.216,-0.216,12,12,6,6
russell1000_up_50pct_200d_dd25pct_aligned_cbagent,russell1000,0.2735,1.065,1.06,-0.004,0.662,0.658,-0.176,-0.176,16,16,9,9
sp500_up_40pct_200d_dd20pct_aligned_agent,sp500,0.3555,0.306,0.303,-0.003,-0.096,-0.099,-0.183,-0.183,8,8,3,3
sp500_up_40pct_200d_dd20pct_aligned_cbagent,sp500,0.3831,1.777,1.777,0.0,1.375,1.375,-0.196,-0.196,17,17,11,11
sp500_up_50pct_200d_dd25pct_aligned_agent,sp500,0.257,0.779,0.784,0.005,0.377,0.382,-0.135,-0.135,7,7,4,4
sp500_up_50pct_200d_dd25pct_aligned_cbagent,sp500,0.2355,0.925,0.935,0.011,0.522,0.533,-0.135,-0.135,10,10,6,6
sp500_up_50pct_50d_dd25pct_agentloop,sp500,0.145,0.125,-0.055,-0.18,0.041,-0.139,-0.093,-0.175,4,4,1,0
