model,universe,note,tradable,target,loss,base_rate,p_star,tau,prec_at_tau,n_pp_eval
 (inferred fresh-OOS), (inferred fresh-OOS),missing spec/eval,False,,,,,,,
nasdaq100_up_10pct_50d_dd5pct_agentloop_v1.3_revalidation_regen,nasdaq100,,True,0.1,0.05,0.3394,0.3333,0.2875,0.3394,18400.0
nasdaq100_up_10pct_50d_dd5pct_b_acceptance_agent,nasdaq100,,True,0.1,0.05,0.3538,0.3333,0.2735,0.3538,18400.0
nasdaq100_up_40pct_50d_dd20pct_agentloop_mix,nasdaq100,,False,0.4,0.2,0.0598,0.3333,,,
nifty500_up_10pct_25d_dd5pct_aligned,nifty500,,True,0.1,0.05,0.363,0.3333,0.0025,0.363,75907.0
nifty500_up_20pct_25d_dd10pct_aligned,nifty500,,False,0.2,0.1,0.1496,0.3333,,,
nifty500_up_30pct_25d_dd15pct_aligned,nifty500,,False,0.3,0.15,0.0637,0.3333,,,
nifty500_up_50pct_25d_dd25pct_aligned,nifty500,,False,0.5,0.2,0.0152,0.2857,,,
nifty500_up_50pct_50d_dd25pct_aligned,nifty500,,False,0.5,0.2,0.0615,0.2857,,,
russell1000_up_40pct_100d_dd20pct_aligned_agent_v14p1,russell1000,,True,0.4,0.2,0.1009,0.3333,0.1289,0.3349,15119.0
russell1000_up_40pct_200d_dd20pct_aligned_agent,russell1000,,True,0.4,0.2,0.1951,0.3333,0.2905,0.3336,56629.0
russell1000_up_40pct_200d_dd20pct_aligned_cbagent,russell1000,,True,0.4,0.2,0.1951,0.3333,0.304,0.334,53196.0
russell1000_up_50pct_200d_dd25pct_aligned_agent,russell1000,,True,0.5,0.2,0.1249,0.2857,0.2506,0.2875,39468.0
russell1000_up_50pct_200d_dd25pct_aligned_agent_v14p1,russell1000,,True,0.5,0.2,0.1249,0.2857,0.2613,0.2863,37752.0
russell1000_up_50pct_200d_dd25pct_aligned_cbagent,russell1000,,True,0.5,0.2,0.1249,0.2857,0.2735,0.2875,38610.0
sp500_up_20pct_25d_dd10pct_agentloop,sp500,,False,0.2,0.1,0.0657,0.3333,,,
sp500_up_20pct_25d_dd10pct_bear2022,sp500,,False,0.2,0.1,0.0295,0.3333,,,
sp500_up_40pct_200d_dd20pct_aligned_agent,sp500,,True,0.4,0.2,0.176,0.3333,0.3555,0.3336,21942.0
sp500_up_40pct_200d_dd20pct_aligned_cbagent,sp500,,True,0.4,0.2,0.176,0.3333,0.3831,0.336,19081.0
sp500_up_50pct_200d_dd25pct_aligned_agent,sp500,,True,0.5,0.2,0.1071,0.2857,0.257,0.2887,13356.0
sp500_up_50pct_200d_dd25pct_aligned_cbagent,sp500,,True,0.5,0.2,0.1071,0.2857,0.2355,0.2887,14311.0
sp500_up_50pct_50d_dd25pct_agentloop,sp500,,True,0.5,0.2,0.0206,0.2857,0.145,0.2922,972.0
sp500_up_50pct_50d_dd25pct_bear2022,sp500,,False,0.5,0.2,0.0036,0.2857,,,
