selector,variant,window,n_days,total,spx,sharpe,maxdd,entries,target,stop,win,names
consensus,A (25/30/15),2021-12-21→2022-10-19,209,-0.5293713814400749,-0.20521034071607325,-1.975629400506347,-0.551585441944466,33,3,25,0.10714285714285714,37
consensus,B (33/40/20),2021-12-21→2022-10-19,209,-0.2985798780849832,-0.20521034071607325,-0.6501122508797501,-0.4017285749030495,16,1,10,0.09090909090909091,37
consensus,C (33/30/15),2021-12-21→2022-10-19,209,-0.5746837281558443,-0.20521034071607325,-2.1988132445702258,-0.5951072604202543,30,3,23,0.11538461538461539,37
consensus,D (25/40/20),2021-12-21→2022-10-19,209,-0.3330662616168222,-0.20521034071607325,-0.8198677052929819,-0.4299456890651139,18,1,11,0.08333333333333333,37
sp500_50_bear,A (25/30/15),2021-12-21→2022-10-19,209,0.15875687328887778,-0.20521034071607325,0.6596396437508835,-0.20538487888506363,21,6,10,0.375,20
sp500_50_bear,B (33/40/20),2021-12-21→2022-10-19,209,-0.1077735649553535,-0.20521034071607325,-0.20526449926880383,-0.2716904271397915,15,2,8,0.2,20
sp500_50_bear,C (33/30/15),2021-12-21→2022-10-19,209,0.1226492195175044,-0.20521034071607325,0.5479361382174278,-0.2145706360841816,21,5,12,0.29411764705882354,20
sp500_50_bear,D (25/40/20),2021-12-21→2022-10-19,209,-0.16260349549285635,-0.20521034071607325,-0.43550554915996514,-0.2661208375282671,16,2,8,0.2,20
sp500_20_bear,A (25/30/15),2021-12-21→2022-10-19,209,-0.3065607065637267,-0.20521034071607325,-0.8186137710134825,-0.3622028129296152,23,3,14,0.17647058823529413,41
sp500_20_bear,B (33/40/20),2021-12-21→2022-10-19,209,-0.43467252473747964,-0.20521034071607325,-1.3357196496705273,-0.4627009948762333,12,0,8,0.0,41
sp500_20_bear,C (33/30/15),2021-12-21→2022-10-19,209,-0.21341120197219687,-0.20521034071607325,-0.44332863227430325,-0.29566791032086437,23,5,14,0.2631578947368421,41
sp500_20_bear,D (25/40/20),2021-12-21→2022-10-19,209,-0.37453650755415,-0.20521034071607325,-1.2023070052599525,-0.4028260988335127,15,1,9,0.1,41
