model,mode,win_start,win_end,n_days,total,cagr,sharpe,maxdd,win,entries,n_target,n_dd,n_horizon,spx
sp500_50,clean,2026-03-13,2026-06-29,83,0.6482724411572265,3.559649016051334,4.243939026291147,-0.10088814627833476,1.0,6,2,0,2,0.12186626763039077
sp500_50,leaky,2025-06-02,2026-06-29,278,0.8368818440330505,0.735333608081687,2.348368553626137,-0.08717742547972795,1.0,16,1,0,14,0.2534544232633493
sp500_20,clean,2026-04-20,2026-06-29,57,0.07830172297210702,0.39555380669262075,1.6461236575387501,-0.10451908708685242,0.4,7,2,3,2,0.04660057794491701
sp500_20,leaky,2025-06-02,2026-06-29,278,1.315616599578247,1.1407262758506502,3.1003142570631623,-0.10387487412897689,0.6363636363636364,40,14,8,18,0.2534544232633493
russell_50_200,clean,2025-06-02,2026-06-29,278,0.8220761429458618,0.7226497719245375,1.9277289790671517,-0.1521499689210124,0.8333333333333334,9,5,1,0,0.2534544232633493
russell_50_200,leaky,2025-06-02,2026-06-29,278,0.8220761429458618,0.7226497719245375,1.9277289790671517,-0.1521499689210124,0.8333333333333334,9,5,1,0,0.2534544232633493
russell_40_100,clean,2025-06-02,2026-06-29,278,1.9090241165771489,1.6325417653717116,2.8787341685339,-0.17326906347476623,0.7333333333333333,18,11,4,2,0.2534544232633493
russell_40_100,leaky,2025-06-02,2026-06-29,278,1.9090241165771489,1.6325417653717116,2.8787341685339,-0.17326906347476623,0.7333333333333333,18,11,4,2,0.2534544232633493
nasdaq_40_50,clean,2026-03-13,2026-06-29,83,0.38400627753906247,1.682350682709417,3.7675843962363036,-0.09174217957631026,0.6666666666666666,6,2,1,1,0.22124117615297823
nasdaq_40_50,leaky,2025-06-02,2026-06-29,278,0.8092680148089602,0.7116694523564,2.1542684225927964,-0.13094961761955548,0.4,19,2,3,12,0.3854037922982074
