name,alloc,target,stop,total,cagr,sharpe,maxdd,win,entries,n_target,n_stop,n_names,window,n_days,spx,mean_dur,med_dur,max_dur,n_open,mean_tgt_dur,mean_stop_dur
V1,20,20,10,0.4488914977164171,1.1509556538468346,2.503207911334396,-0.07904658728468605,0.5652173913043478,26,13,10,7,2026-01-02→2026-06-29,122,0.08485273577159624,9.521739130434783,6.0,55,3,12.923076923076923,5.1
V2,20,30,15,0.29471615890181657,0.7049233000779078,1.6744241595665843,-0.08955427877180311,0.5833333333333334,15,7,5,7,2026-01-02→2026-06-29,122,0.08485273577159624,14.833333333333334,13.5,59,3,17.285714285714285,11.4
V3,20,40,20,0.438930882229398,1.12052375171851,2.3833287066284634,-0.08192344176835042,0.6666666666666666,12,6,3,7,2026-01-02→2026-06-29,122,0.08485273577159624,22.11111111111111,17.0,62,3,24.333333333333332,17.666666666666668
V4,20,50,25,0.5366349973688056,1.4287095801561867,2.5220955047480733,-0.0963013264071747,0.8,9,4,1,7,2026-01-02→2026-06-29,122,0.08485273577159624,36.2,20.0,99,4,42.5,11.0
V5,25,20,10,0.49959321152474967,1.309330945158481,2.281421989911119,-0.09809108651563703,0.5909090909090909,25,13,9,7,2026-01-02→2026-06-29,122,0.08485273577159624,9.727272727272727,6.5,55,3,12.923076923076923,5.111111111111111
V6,25,30,15,0.2647565714990747,0.6244369861838275,1.3377744308440591,-0.11071423887566256,0.5454545454545454,14,6,5,7,2026-01-02→2026-06-29,122,0.08485273577159624,14.818181818181818,13.0,59,3,17.666666666666668,11.4
V7,25,40,20,0.5699054013138793,1.5385816134404129,2.429333622459799,-0.10093916535300518,0.6666666666666666,12,6,3,7,2026-01-02→2026-06-29,122,0.08485273577159624,22.11111111111111,17.0,62,3,24.333333333333332,17.666666666666668
V8,25,50,25,0.7686300515015394,2.2472258219250487,2.882674272022819,-0.1178605966408367,1.0,8,4,0,7,2026-01-02→2026-06-29,122,0.08485273577159624,42.5,27.0,99,4,42.5,
V9,33,20,10,0.680550763188633,1.922045570474125,2.3988349357126615,-0.12797746943546728,0.5714285714285714,24,12,9,7,2026-01-02→2026-06-29,122,0.08485273577159624,9.666666666666666,6.0,55,3,13.083333333333334,5.111111111111111
V10,33,30,15,0.42798415650540966,1.0873370119032701,1.6902628507090618,-0.13326888933724657,0.5454545454545454,14,6,5,7,2026-01-02→2026-06-29,122,0.08485273577159624,14.818181818181818,13.0,59,3,17.666666666666668,11.4
V11,33,40,20,0.5631859235487848,1.5161891195518895,2.0915298080813636,-0.13026794047386936,0.6666666666666666,12,6,3,7,2026-01-02→2026-06-29,122,0.08485273577159624,22.11111111111111,17.0,62,3,24.333333333333332,17.666666666666668
V12,33,50,25,0.7315689175797175,2.108242957886379,2.4375415247826075,-0.15053935313353983,1.0,8,4,0,7,2026-01-02→2026-06-29,122,0.08485273577159624,42.5,27.0,99,4,42.5,
V13,50,20,10,0.6352582607462602,1.7617118653088117,1.9450292100583224,-0.18913975593392718,0.6,23,12,8,7,2026-01-02→2026-06-29,122,0.08485273577159624,9.75,5.5,55,3,13.083333333333334,4.75
V14,50,30,15,0.4304682398578501,1.0948442190911547,1.4961294876215507,-0.19168020147442177,0.5555555555555556,12,5,4,7,2026-01-02→2026-06-29,122,0.08485273577159624,15.88888888888889,14.0,59,3,19.4,11.5
V15,50,40,20,0.9089526831483561,2.801921321230335,2.494037286815974,-0.18850171917386993,0.625,10,5,3,7,2026-01-02→2026-06-29,122,0.08485273577159624,22.75,17.0,62,2,25.8,17.666666666666668
V16,50,50,25,1.1052011434146007,3.653575609981962,2.5187727018635484,-0.2137589512285969,1.0,6,3,0,7,2026-01-02→2026-06-29,122,0.08485273577159624,49.666666666666664,34.0,99,3,49.666666666666664,
V17,100,20,10,0.5242675204999987,1.3885063716720096,1.369316145313199,-0.3995973534893885,0.5,13,6,6,7,2026-01-02→2026-06-29,122,0.08485273577159624,7.75,8.0,28,1,10.5,5.0
V18,100,30,15,0.1578421317905161,0.35354414695665626,0.788325993981558,-0.4312185050619939,0.42857142857142855,8,3,4,7,2026-01-02→2026-06-29,122,0.08485273577159624,16.428571428571427,13.0,56,1,23.0,11.5
V19,100,40,20,0.27808320712419365,0.6599910294425144,1.0104753178145887,-0.4312185050619939,0.5,5,2,2,7,2026-01-02→2026-06-29,122,0.08485273577159624,30.25,26.5,62,1,39.5,21.0
V20,100,50,25,0.5977410762842255,1.6324339502077012,1.4281078869449149,-0.4768613318044066,1.0,2,1,0,7,2026-01-02→2026-06-29,122,0.08485273577159624,99.0,99.0,99,1,99.0,
