,equity
2024-07-15,100000.0
2024-07-16,100000.0
2024-07-17,100000.0
2024-07-18,100000.0
2024-07-19,100000.0
2024-07-22,100000.0
2024-07-23,100000.0
2024-07-24,100000.0
2024-07-25,100000.0
2024-07-26,100000.0
2024-07-29,97072.6713104248
2024-07-30,96845.72849369049
2024-07-31,96429.17370700836
2024-08-01,92014.90130329132
2024-08-02,89590.52209949493
2024-08-05,83486.33462429047
2024-08-06,82203.01837921143
2024-08-07,82906.98767185211
2024-08-08,79442.61736869812
2024-08-09,79444.34858131409
2024-08-12,77811.48767185211
2024-08-13,79774.78716659546
2024-08-14,79235.48767185211
2024-08-15,80884.17625713348
2024-08-16,81814.8366613388
2024-08-19,83148.39807605743
2024-08-20,83918.11736869812
2024-08-21,83476.54656028748
2024-08-22,82370.15746974945
2024-08-23,85366.05848026276
2024-08-26,86194.94504451752
2024-08-27,85577.42566013336
2024-08-28,84740.7463593483
2024-08-29,83462.11755800247
2024-08-30,84114.9382572174
2024-09-03,81310.67815732956
2024-09-04,81199.44835710526
2024-09-05,81687.39785766602
2024-09-06,80512.7463593483
2024-09-09,81026.7084569931
2024-09-10,79677.59735822678
2024-09-11,79434.13775777817
2024-09-12,83227.52665901184
2024-09-13,87612.73625946045
2024-09-16,87968.95962333679
2024-09-17,87374.47647953033
2024-09-18,87157.05785179138
2024-09-19,87265.52549934387
2024-09-20,86423.53628349304
2024-09-23,86032.41667556763
2024-09-24,86893.90589141846
2024-09-25,86318.33530330658
2024-09-26,87020.37843990326
2024-09-27,87352.99804782867
2024-09-30,86678.1774597168
2024-10-01,86107.41667556763
2024-10-02,85131.75638151169
2024-10-03,84026.53628349304
2024-10-04,84433.3485379219
2024-10-07,84126.75638151169
2024-10-08,85048.48484182358
2024-10-09,84309.79625844955
2024-10-10,82963.5247130394
2024-10-11,89228.0247130394
2024-10-14,86881.21509695053
2024-10-15,85119.8649687767
2024-10-16,85631.54136037827
2024-10-17,85853.83918142319
2024-10-18,90887.24189138412
2024-10-21,93270.1444182396
2024-10-22,93370.64002370834
2024-10-23,90954.14038991928
2024-10-24,95816.54273366928
2024-10-25,95842.33899831772
2024-10-28,99820.34229421616
2024-10-29,100679.01984548569
2024-10-30,97962.93018484116
2024-10-31,95440.98011159897
2024-11-01,93348.9312376976
2024-11-04,92233.53374624252
2024-11-05,94329.48345327377
2024-11-06,101891.43146657944
2024-11-07,105407.43274831772
2024-11-08,106021.78083181381
2024-11-11,104970.37726736069
2024-11-12,105615.93708181381
2024-11-13,105234.90044546127
2024-11-14,105414.45769643784
2024-11-15,103779.17797231674
2024-11-18,103375.21735525131
2024-11-19,105243.77771902084
2024-11-20,104851.53902578354
2024-11-21,105212.81874990463
2024-11-22,103814.57822561264
2024-11-25,102145.10067129135
2024-11-26,102172.3783659935
2024-11-27,101579.97792959213
2024-11-29,102571.3789153099
2024-12-02,102649.86069631577
2024-12-03,102706.6972899437
2024-12-04,104019.73868703842
2024-12-05,103652.37818288803
2024-12-06,102873.26026296616
2024-12-09,97894.45700979233
2024-12-10,98341.84137868881
2024-12-11,104078.31668996811
2024-12-12,101056.88739919662
2024-12-13,102222.84989309311
2024-12-16,101542.62818288803
2024-12-17,98304.57969045639
2024-12-18,93263.08112478256
2024-12-19,90896.5749297142
2024-12-20,96820.07880544662
2024-12-23,94314.82901906967
2024-12-24,97723.57764577866
2024-12-26,95495.32447195053
2024-12-27,93700.0791106224
2024-12-30,90320.07804250717
2024-12-31,92070.07804250717
2025-01-02,92070.07804250717
2025-01-03,92070.07804250717
2025-01-06,92070.07804250717
2025-01-07,92070.07804250717
2025-01-08,92070.07804250717
2025-01-10,92070.07804250717
2025-01-13,92070.07804250717
2025-01-14,92070.07804250717
2025-01-15,92070.07804250717
2025-01-16,92070.07804250717
2025-01-17,92070.07804250717
2025-01-21,92070.07804250717
2025-01-22,92070.07804250717
2025-01-23,92070.07804250717
2025-01-24,92070.07804250717
2025-01-27,92070.07804250717
2025-01-28,92070.07804250717
2025-01-29,92070.07804250717
2025-01-30,92070.07804250717
2025-01-31,92070.07804250717
2025-02-03,92070.07804250717
2025-02-04,92070.07804250717
2025-02-05,92070.07804250717
2025-02-06,92070.07804250717
2025-02-07,92070.07804250717
2025-02-10,92070.07804250717
2025-02-11,92070.07804250717
2025-02-12,92070.07804250717
2025-02-13,92070.07804250717
2025-02-14,92070.07804250717
2025-02-18,92070.07804250717
2025-02-19,92070.07804250717
2025-02-20,92070.07804250717
2025-02-21,92070.07804250717
2025-02-24,92070.07804250717
2025-02-25,92070.07804250717
2025-02-26,92070.07804250717
2025-02-27,92070.07804250717
2025-02-28,92070.07804250717
2025-03-03,92070.07804250717
