step,date,ticker,kind,p_today,anchor_close,close,shares_before,shares_after,notional_f,trigger
14,2024-07-26,NASDAQ:MSTR,entry,0.13655737704918036,175.27099609375,175.27099609375,0.0,142.63626359850122,0.25,
14,2024-07-26,NASDAQ:WBD,entry,0.13655737704918036,8.3100004196167,8.3100004196167,0.0,3008.423434129397,0.25,
14,2024-07-26,NASDAQ:DXCM,entry,0.09977324263038552,64.0,64.0,0.0,390.625,0.25,
14,2024-07-26,NASDAQ:MDB,entry,0.09977324263038552,253.5,253.5,0.0,90.72978303747534,0.25,
15,2024-07-29,NASDAQ:WBD,trim,0.13655737704918036,8.3100004196167,8.420000076293945,3008.0,2945.4777684021196,0.25,
15,2024-07-29,NASDAQ:DXCM,trim,0.09977324263038552,64.0,67.48,390.0,367.5299797668638,0.25,
16,2024-07-30,NASDAQ:WBD,trim,0.13655737704918036,8.3100004196167,8.779999732971191,2946.0,2830.365568448021,0.25,
16,2024-07-30,NASDAQ:DXCM,trim,0.09977324263038552,64.0,69.7,368.0,356.5367135607529,0.25,
18,2024-08-01,NASDAQ:DXCM,trim,0.09977324263038552,64.0,70.32,357.0,343.58640779109004,0.25,
19,2024-08-02,NASDAQ:DXCM,trim,0.09977324263038552,64.0,72.3,344.0,330.2193664544186,0.25,
20,2024-08-05,NASDAQ:MSTR,exit,0.13655737704918036,175.27099609375,130.89999389648438,142.0,0.0,,DD
20,2024-08-05,NASDAQ:DXCM,trim,0.13655737704918036,64.0,72.43,331.0,315.5318990288955,0.25,
20,2024-08-05,NASDAQ:AMD,entry,0.13655737704918036,134.82,134.82,0.0,48.05134611171354,0.25,
21,2024-08-06,NASDAQ:DXCM,trim,0.13655737704918036,64.0,75.25,316.0,304.3003448236028,0.25,
39,2024-08-30,NASDAQ:MDB,trim,0.13655737704918036,253.5,290.7900085449219,90.0,83.80968304661295,0.25,
41,2024-09-04,NASDAQ:MDB,trim,0.13655737704918036,253.5,290.7099914550781,84.0,82.36947063301918,0.25,
42,2024-09-05,NASDAQ:MDB,trim,0.13655737704918036,253.5,289.8800048828125,83.0,82.52899618523568,0.25,
45,2024-09-10,NASDAQ:MDB,trim,0.13655737704918036,253.5,291.489990234375,83.0,81.22573240563449,0.25,
46,2024-09-11,NASDAQ:MDB,trim,0.13655737704918036,253.5,296.69000244140625,82.0,80.23390764619344,0.25,
64,2024-10-07,NASDAQ:WBD,exit,0.13655737704918036,8.3100004196167,7.71999979019165,2831.0,0.0,,horizon
