,equity
2024-07-15,100000.0
2024-07-16,100000.0
2024-07-17,100000.0
2024-07-18,100000.0
2024-07-19,100000.0
2024-07-22,100000.0
2024-07-23,100000.0
2024-07-24,100000.0
2024-07-25,100000.0
2024-07-26,100000.0
2024-07-29,100461.13
2024-07-30,99767.63
2024-07-31,104066.74999999997
2024-08-01,99459.93
2024-08-02,99688.54999999999
2024-08-05,99886.98999999999
2024-08-06,100477.31
2024-08-07,95775.3256
2024-08-08,100613.8256
2024-08-09,99894.2056
2024-08-12,101240.42559999999
2024-08-13,103795.2456
2024-08-14,103602.6656
2024-08-15,108029.14559999999
2024-08-16,109247.5256
2024-08-19,112632.5656
2024-08-20,110360.32559999998
2024-08-21,110811.9056
2024-08-22,108223.7556
2024-08-23,110661.2156
2024-08-26,107854.32559999998
2024-08-27,107718.71559999998
2024-08-28,105267.49560000001
2024-08-29,104409.4856
2024-08-30,106278.29559999998
2024-09-03,104717.26547503051
2024-09-04,104645.7854571777
2024-09-05,103968.97029650267
2024-09-06,100045.2752429443
2024-09-09,101485.87031435544
2024-09-10,102583.22027864988
2024-09-11,104982.72024294431
2024-09-12,106481.43052858883
2024-09-13,107573.34035006101
2024-09-16,107355.02035006101
2024-09-17,106600.06022509154
2024-09-18,106515.70049288328
2024-09-19,109018.50024294431
2024-09-20,109251.64042147214
2024-09-23,109461.08026079708
2024-09-24,109418.9402607971
2024-09-25,108801.24059999998
2024-09-26,109813.71040361936
2024-09-27,108583.37035006101
2024-09-30,108318.43017153318
2024-10-01,106600.79051073606
2024-10-02,107717.93024294432
2024-10-03,107256.45043932492
2024-10-04,109483.43042147215
2024-10-07,109358.75018938596
2024-10-08,111092.65038576658
2024-10-09,110362.17038576659
2024-10-10,109332.5103857666
2024-10-11,109296.9803857666
2024-10-14,109029.6403857666
2024-10-15,106035.03038576657
2024-10-16,106158.72038576659
2024-10-17,107134.6203857666
2024-10-18,106760.94038576659
2024-10-21,107099.9503857666
2024-10-22,106217.51038576658
2024-10-23,104775.7103857666
2024-10-24,104440.53038576659
2024-10-25,105277.14038576657
2024-10-28,105853.94038576659
2024-10-29,108557.13038576659
2024-10-30,104480.1003857666
2024-10-31,102165.63038576659
2024-11-01,101551.0503857666
2024-11-04,101300.5403857666
2024-11-05,102583.1003857666
2024-11-06,104600.9603857666
2024-11-07,106448.03098576659
2024-11-08,106207.63098576659
2024-11-11,105131.03098576659
2024-11-12,103872.60098576659
2024-11-13,103648.80129979247
2024-11-14,103760.7021371948
2024-11-15,101950.63171849365
2024-11-18,103494.18140446777
2024-11-19,102763.5722418701
2024-11-20,102151.40150914305
2024-11-21,102797.83192784424
2024-11-22,103067.72119511716
2024-11-25,104218.4423465454
2024-11-26,102455.24014836425
2024-11-27,101526.94067174071
2024-11-29,102322.66014836426
2024-12-02,103086.59161381834
2024-12-03,101067.04025303954
2024-12-04,100814.95993901366
2024-12-05,98662.75014836426
2024-12-06,98262.67129979246
2024-12-09,96051.38046239012
2024-12-10,94558.77098576659
2024-12-11,95031.65234654541
2024-12-12,96049.2021371948
2024-12-13,94663.58140446777
2024-12-16,95306.70109044189
2024-12-17,94323.41192784424
2024-12-18,93508.09056706542
2024-12-19,93038.44056706542
2024-12-20,93003.64056706542
2024-12-23,93003.64056706542
2024-12-24,93003.64056706542
2024-12-26,93003.64056706542
2024-12-27,93003.64056706542
2024-12-30,93003.64056706542
2024-12-31,93003.64056706542
2025-01-02,93003.64056706542
2025-01-03,93003.64056706542
2025-01-06,93003.64056706542
2025-01-07,93003.64056706542
2025-01-08,93003.64056706542
2025-01-10,93003.64056706542
2025-01-13,93003.64056706542
2025-01-14,93003.64056706542
2025-01-15,93003.64056706542
2025-01-16,93003.64056706542
2025-01-17,93003.64056706542
2025-01-21,93003.64056706542
2025-01-22,93003.64056706542
2025-01-23,93003.64056706542
2025-01-24,93003.64056706542
