,equity
2024-07-15,100000.0
2024-07-16,100000.0
2024-07-17,100000.0
2024-07-18,100000.0
2024-07-19,100000.0
2024-07-22,100000.0
2024-07-23,100000.0
2024-07-24,100000.0
2024-07-25,100000.0
2024-07-26,100000.0
2024-07-29,100832.09999206543
2024-07-30,99429.69969940186
2024-07-31,102628.39013244628
2024-08-01,97425.17915893554
2024-08-02,94000.4887020874
2024-08-05,92106.38926422119
2024-08-06,89962.00918762207
2024-08-07,88171.7380682373
2024-08-08,91876.02977355957
2024-08-09,91517.4302017212
2024-08-12,89811.9304840088
2024-08-13,92685.31036437988
2024-08-14,90194.14988128662
2024-08-15,95589.86939331055
2024-08-16,96211.27990509034
2024-08-19,99755.529453125
2024-08-20,100245.59098388671
2024-08-21,102338.03979278565
2024-08-22,98622.40929290772
2024-08-23,101944.97074951172
2024-08-26,99320.44148376465
2024-08-27,98863.06179229736
2024-08-28,97145.1396875
2024-08-29,98265.86002471924
2024-08-30,99586.38977600099
2024-09-03,94524.95149810791
2024-09-04,96855.73021850587
2024-09-05,97385.35890777588
2024-09-06,91622.00961334229
2024-09-09,93730.76154663086
2024-09-10,96210.99037139892
2024-09-11,101590.75142761231
2024-09-12,101754.44935913087
2024-09-13,101794.94957519532
2024-09-16,101890.97901824952
2024-09-17,101934.50890960693
2024-09-18,100209.43803833007
2024-09-19,105315.36006286621
2024-09-20,103229.0592944336
2024-09-23,105971.91939727783
2024-09-24,107503.99000396728
2024-09-25,107374.24876708984
2024-09-26,111051.2392590332
2024-09-27,111549.43953735352
2024-09-30,111203.88008026124
2024-10-01,109640.42806427002
2024-10-02,108302.60020050048
2024-10-03,107870.05939514161
2024-10-04,113533.41872741698
2024-10-07,113055.4603729248
2024-10-08,112542.11042510986
2024-10-09,112237.60951538086
2024-10-10,110805.12999481201
2024-10-11,108346.48900115967
2024-10-14,107160.66970367431
2024-10-15,104070.43001068116
2024-10-16,105053.55996154784
2024-10-17,103811.17900268555
2024-10-18,103883.04907226562
2024-10-21,103598.96932556151
2024-10-22,103543.36956756591
2024-10-23,101843.5485421753
2024-10-24,108914.20175750731
2024-10-25,110177.98076690674
2024-10-28,111615.22083740233
2024-10-29,112058.07871429443
2024-10-30,107630.27690155029
2024-10-31,105339.73167266845
2024-11-01,105930.46839996339
2024-11-04,105628.39910064697
2024-11-05,106743.6696282959
2024-11-06,111482.76015502929
2024-11-07,114705.69039764404
2024-11-08,117748.16874572754
2024-11-11,124562.23902923583
2024-11-12,120409.99910949706
2024-11-13,121128.10983764648
2024-11-14,119018.98767059325
2024-11-15,118251.43787719727
2024-11-18,119126.80772155762
2024-11-19,120623.88715637206
2024-11-20,121190.32962829589
2024-11-21,121040.99962738037
2024-11-22,120621.63746673583
2024-11-25,121251.71014617919
2024-11-26,119523.43880462646
2024-11-27,119473.44947174072
2024-11-29,119827.59762329102
2024-12-02,122117.42009521484
2024-12-03,121487.33808197021
2024-12-04,120155.25880554199
2024-12-05,119076.76792999268
2024-12-06,119562.10855072021
2024-12-09,119185.37967834473
2024-12-10,116283.50040557861
2024-12-11,117112.45721008301
2024-12-12,116859.32936889648
2024-12-13,114485.97772613526
2024-12-16,114301.56896026612
2024-12-17,113136.7096282959
2024-12-18,110580.78945678711
2024-12-19,110379.80913299561
2024-12-20,109598.05817932129
2024-12-23,110814.57889312744
2024-12-24,113360.48866027832
2024-12-26,112693.47839874268
2024-12-27,110596.04843658447
2024-12-30,109445.79931396485
2024-12-31,108111.26796478272
2025-01-02,106754.108258667
2025-01-03,109917.23891204834
2025-01-06,110191.05708831787
2025-01-07,107968.97751373291
2025-01-08,107872.17907470703
2025-01-10,107359.3483480835
2025-01-13,107880.66825622559
2025-01-14,107248.76708740235
2025-01-15,110242.29914611817
2025-01-16,108863.28982299805
2025-01-17,110301.16930145264
2025-01-21,110558.49931091309
2025-01-22,110566.13814300537
2025-01-23,110358.54926055908
2025-01-24,109240.2373022461
2025-01-27,105744.32805389405
2025-01-28,106759.3887991333
2025-01-29,105722.84898132324
2025-01-30,106827.33874267578
2025-01-31,106804.96906799317
2025-02-03,104772.72843688965
2025-02-04,105616.09808105469
2025-02-05,105133.59984344483
2025-02-06,105543.86861175537
2025-02-07,104482.77798217774
2025-02-10,103867.90031188965
2025-02-11,103566.3080041504
2025-02-12,103610.37780578613
2025-02-13,103851.19714019776
2025-02-14,103760.65837646485
2025-02-18,103213.99723724366
2025-02-19,103143.84727996826
2025-02-20,102920.93771759034
2025-02-21,101117.17709960938
2025-02-24,99097.57768615724
2025-02-25,97843.66740966798
2025-02-26,100239.00816589355
2025-02-27,96457.63796661378
2025-02-28,97992.4668386841
2025-03-03,93953.63710929871
2025-03-04,92192.28734535218
2025-03-05,92190.29715599061
2025-03-06,89752.51760604858
2025-03-07,92061.21699905396
2025-03-10,89053.22833755493
2025-03-11,89668.8983959198
2025-03-12,92552.48787063599
2025-03-13,95600.37850097657
2025-03-14,97419.96643402099
2025-03-17,100403.22817848207
2025-03-18,99562.46752754212
2025-03-19,98947.56849479675
2025-03-20,98237.06624694823
2025-03-21,98606.1077129364
2025-03-24,100398.96654014588
2025-03-25,100180.53839706421
2025-03-26,96672.48751747132
2025-03-27,94948.74849479676
2025-03-28,92613.98624694826
2025-03-31,92345.66624694824
2025-04-01,91824.08644241333
2025-04-02,92072.1968333435
2025-04-03,89523.32781066895
2025-04-04,83327.7479084015
2025-04-07,82511.5870288086
2025-04-08,79293.1963446808
2025-04-09,90131.54829933168
2025-04-10,85625.11634468079
2025-04-11,86950.95712654115
2025-04-14,87988.14673561096
2025-04-15,88054.3979084015
2025-04-16,85046.45683334352
2025-04-17,84324.08781066895
2025-04-21,83296.45761520386
2025-04-22,84518.94771293641
2025-04-23,87517.43761520386
2025-04-24,90624.49712654116
2025-04-25,89685.39144241334
2025-04-28,90151.5177129364
2025-04-29,90102.05761520387
2025-04-30,90058.30790840149
2025-05-01,89821.00683334352
2025-05-02,91471.79849479676
2025-05-05,91575.95800613405
