,equity
2024-07-15,100000.0
2024-07-16,100000.0
2024-07-17,100000.0
2024-07-18,100000.0
2024-07-19,100000.0
2024-07-22,100000.0
2024-07-23,100000.0
2024-07-24,100000.0
2024-07-25,100000.0
2024-07-26,100000.0
2024-07-29,98917.12
2024-07-30,96336.57
2024-07-31,103934.79
2024-08-01,95463.10999999999
2024-08-02,94437.98999999999
2024-08-05,94695.51000000001
2024-08-06,93662.22999999998
2024-08-07,90719.34999999999
2024-08-08,96374.07
2024-08-09,96456.98999999999
2024-08-12,97440.75
2024-08-13,101340.66999999998
2024-08-14,101691.91
2024-08-15,106659.23000000001
2024-08-16,106947.26999999999
2024-08-19,109914.67
2024-08-20,109748.26999999999
2024-08-21,110185.23
2024-08-22,106971.91
2024-08-23,109383.66999999998
2024-08-26,105517.31
2024-08-27,106254.10999999999
2024-08-28,103799.03
2024-08-29,103101.27
2024-08-30,106030.87
2024-09-03,104649.63
2024-09-04,104687.46000000002
2024-09-05,104098.00000000001
2024-09-06,102186.92000000001
2024-09-09,103644.52000000002
2024-09-10,105342.80000000002
2024-09-11,107937.43500000003
2024-09-12,108268.50500000002
2024-09-13,108852.05500000002
2024-09-16,108791.69500000002
2024-09-17,108294.61500000002
2024-09-18,107409.67500000002
2024-09-19,110533.17500000002
2024-09-20,110191.005
2024-09-23,110444.20500000002
2024-09-24,110956.81500000002
2024-09-25,112178.67500000002
2024-09-26,114128.90500000003
2024-09-27,113048.505
2024-09-30,112946.43500000003
2024-10-01,111428.30500000002
2024-10-02,111482.53500000002
2024-10-03,112472.60500000001
2024-10-04,115314.85500000001
2024-10-07,115359.45500000002
2024-10-08,117612.45500000002
2024-10-09,119670.79500000003
2024-10-10,119537.05500000002
2024-10-11,118283.35500000001
2024-10-14,118599.43500000003
2024-10-15,116648.05500000002
2024-10-16,116945.23500000003
2024-10-17,118402.51500000001
2024-10-18,117904.27500000001
2024-10-21,117890.41500000001
2024-10-22,117703.57500000001
2024-10-23,115874.41500000001
2024-10-24,115203.01500000001
2024-10-25,115676.95500000002
2024-10-28,115398.31500000002
2024-10-29,117617.53500000002
2024-10-30,116798.71500000001
2024-10-31,114659.77500000002
2024-11-01,114396.25500000002
2024-11-04,114317.95500000003
2024-11-05,115980.79500000003
2024-11-06,117854.23500000003
2024-11-07,119202.79500000003
2024-11-08,119262.37500000001
2024-11-11,117786.01500000001
2024-11-12,116640.11500000002
2024-11-13,118030.0555282593
2024-11-14,117272.7369369507
2024-11-15,113952.65623260499
2024-11-18,115345.85570434571
2024-11-19,113767.61711303712
2024-11-20,112665.49588043214
2024-11-21,113875.97658477785
2024-11-22,114106.09535217287
2024-11-25,115146.49728912354
2024-11-26,113228.65359130861
2024-11-27,110703.33447174073
2024-11-29,112388.09359130861
2024-12-02,113511.01605651857
2024-12-03,110659.57376739504
2024-12-04,110244.05323913576
2024-12-05,107538.3335913086
2024-12-06,110678.2555282593
2024-12-09,110238.0041195679
2024-12-10,106534.63500000001
2024-12-11,109961.82728912355
2024-12-12,110702.40693695069
2024-12-13,122973.02570434572
2024-12-16,131197.47517608645
2024-12-17,127624.99658477784
2024-12-18,123348.88429565431
2024-12-19,124477.15429565431
2024-12-20,124477.15429565431
2024-12-23,124477.15429565431
2024-12-24,124477.15429565431
2024-12-26,124477.15429565431
2024-12-27,124477.15429565431
2024-12-30,124477.15429565431
2024-12-31,124477.15429565431
2025-01-02,124477.15429565431
2025-01-03,124477.15429565431
2025-01-06,124477.15429565431
2025-01-07,124477.15429565431
2025-01-08,124477.15429565431
2025-01-10,124477.15429565431
2025-01-13,124477.15429565431
2025-01-14,124477.15429565431
2025-01-15,124477.15429565431
2025-01-16,124477.15429565431
2025-01-17,124477.15429565431
2025-01-21,124477.15429565431
2025-01-22,124477.15429565431
2025-01-23,124477.15429565431
2025-01-24,124477.15429565431
