step,date,ticker,kind,p_today,anchor_close,close,shares_before,shares_after,notional_f,trigger
14,2024-07-26,NASDAQ:AMD,entry,0.021456436931079327,139.99,139.99,0.0,178.58418458461318,0.25,
14,2024-07-26,NASDAQ:AVGO,entry,0.021456436931079327,151.63,151.63,0.0,164.87502473125372,0.25,
14,2024-07-26,NASDAQ:CRWD,entry,0.021456436931079327,256.16,256.16,0.0,97.59525296689569,0.25,
14,2024-07-26,NASDAQ:DXCM,entry,0.021456436931079327,64.0,64.0,0.0,359.375,0.25,
15,2024-07-29,NASDAQ:CRWD,trim,0.021456436931079327,256.16,258.81,97.0,96.84723349175071,0.25,
16,2024-07-30,NASDAQ:AMD,trim,0.021456436931079327,139.99,138.44,178.0,175.68009607049987,0.25,
16,2024-07-30,NASDAQ:DXCM,trim,0.021456436931079327,64.0,69.7,359.0,348.9404949784792,0.25,
17,2024-07-31,NASDAQ:AMD,trim,0.0009249267766301836,139.99,144.48,176.0,173.67182308970098,0.25,
17,2024-07-31,NASDAQ:AVGO,trim,0.021456436931079327,151.63,160.68,164.0,156.16196788648242,0.25,
18,2024-08-01,NASDAQ:DXCM,trim,0.021456436931079327,64.0,70.32,349.0,342.17413253697384,0.25,
19,2024-08-02,NASDAQ:DXCM,trim,0.021456436931079327,64.0,72.3,343.0,331.24927385892113,0.25,
21,2024-08-06,NASDAQ:DXCM,trim,0.021456436931079327,64.0,75.25,332.0,324.5606976744186,0.25,
31,2024-08-20,NASDAQ:AMD,trim,0.021456436931079327,139.99,156.4,174.0,173.0986697570332,0.25,
32,2024-08-21,NASDAQ:AMD,trim,0.021456436931079327,139.99,157.81,174.0,173.10513877447562,0.25,
38,2024-08-29,NASDAQ:CRWD,trim,1.2907306180663561e-05,256.16,271.67,97.0,96.09533422902786,0.25,
39,2024-08-30,NASDAQ:AMD,exit,0.021456436931079327,139.99,148.56,174.0,0.0,,horizon
39,2024-08-30,NASDAQ:AVGO,exit,0.021456436931079327,151.63,162.82,157.0,0.0,,horizon
39,2024-08-30,NASDAQ:CRWD,exit,1.2907306180663561e-05,256.16,277.28,97.0,0.0,,horizon
39,2024-08-30,NASDAQ:DXCM,exit,0.021456436931079327,64.0,69.34,325.0,0.0,,horizon
39,2024-08-30,NASDAQ:INTC,entry,0.021456436931079327,22.040000915527344,22.040000915527344,0.0,244.24932941846902,0.25,
40,2024-09-03,NASDAQ:AMD,entry,0.021456436931079327,136.94,136.94,0.0,191.58603707771638,0.25,
40,2024-09-03,NASDAQ:AVGO,entry,0.021456436931079327,152.79,152.79,0.0,171.7114465437691,0.25,
40,2024-09-03,NASDAQ:DXCM,entry,0.021456436931079327,72.36,72.36,0.0,362.57313318715427,0.25,
41,2024-09-04,NASDAQ:AMD,trim,0.021456436931079327,136.94,140.87,191.0,186.18684363433343,0.25,
41,2024-09-04,NASDAQ:AVGO,trim,0.021456436931079327,152.79,154.12,171.0,170.17999391882006,0.25,
42,2024-09-05,NASDAQ:AMD,trim,0.021456436931079327,136.94,139.44,187.0,186.68623150375197,0.25,
42,2024-09-05,NASDAQ:AVGO,trim,0.021456436931079327,152.79,152.82,171.0,170.34110797594016,0.25,
43,2024-09-06,NASDAQ:AMD,trim,0.021456436931079327,136.94,134.35,187.0,186.42442766595744,0.25,
44,2024-09-09,NASDAQ:AMD,trim,0.021456436931079327,136.94,138.15,187.0,184.56620069154616,0.25,
45,2024-09-10,NASDAQ:AMD,trim,0.021456436931079327,136.94,142.84,185.0,181.46626026483645,0.25,
46,2024-09-11,NASDAQ:AMD,trim,0.021456436931079327,136.94,149.86,182.0,178.19964871827958,0.25,
46,2024-09-11,NASDAQ:AVGO,trim,0.021456436931079327,152.79,158.27,171.0,168.7306460916243,0.25,
47,2024-09-12,NASDAQ:AVGO,trim,0.021456436931079327,152.79,164.56,169.0,164.2252791163361,0.25,
48,2024-09-13,NASDAQ:AVGO,trim,0.021456436931079327,152.79,167.69,165.0,162.83534727679026,0.25,
52,2024-09-19,NASDAQ:AMD,trim,0.0009249267766301836,136.94,156.74,179.0,177.3652823588196,0.25,
53,2024-09-20,NASDAQ:AVGO,trim,0.021456436931079327,152.79,171.1,163.0,162.61080890391986,0.25,
54,2024-09-23,NASDAQ:AVGO,trim,0.021456436931079327,152.79,172.94,163.0,161.39206870345384,0.25,
55,2024-09-24,NASDAQ:AMD,trim,1.2907306180663561e-05,136.94,158.32,178.0,176.72471489120335,0.25,
55,2024-09-24,NASDAQ:AVGO,trim,0.021456436931079327,152.79,174.84,162.0,160.02663498956366,0.25,
56,2024-09-25,NASDAQ:AMD,trim,1.2907306180663561e-05,136.94,162.02,177.0,173.06514288359458,0.25,
56,2024-09-25,NASDAQ:AVGO,trim,0.021456436931079327,152.79,175.52,161.0,159.75395652917044,0.25,
57,2024-09-26,NASDAQ:AMD,trim,1.2907306180663561e-05,136.94,167.49,174.0,170.0451408968103,0.25,
57,2024-09-26,NASDAQ:AVGO,trim,0.021456436931079327,152.79,178.09,160.0,159.9239746690255,0.25,
59,2024-09-30,NASDAQ:AMD,trim,1.2907306180663561e-05,136.94,164.08,171.0,170.88658330269172,0.25,
62,2024-10-03,NASDAQ:AMD,trim,0.0009249267766301836,136.94,162.85,171.0,170.49928251835811,0.25,
63,2024-10-04,NASDAQ:AMD,trim,0.0009249267766301836,136.94,170.9,171.0,166.99818989737088,0.25,
64,2024-10-07,NASDAQ:INTC,exit,0.021456436931079327,22.040000915527344,22.3799991607666,244.0,0.0,,horizon
64,2024-10-07,NASDAQ:AMD,trim,0.0009249267766301836,136.94,170.97,167.0,166.77802007930978,0.25,
64,2024-10-07,NASDAQ:CTAS,entry,0.021456436931079327,204.47,204.47,0.0,130.31935504024588,0.25,
65,2024-10-08,NASDAQ:AMD,exit,0.0009249267766301836,136.94,172.8,167.0,0.0,,horizon
65,2024-10-08,NASDAQ:AVGO,exit,0.021456436931079327,152.79,180.73,160.0,0.0,,horizon
65,2024-10-08,NASDAQ:DXCM,exit,0.021456436931079327,72.36,69.43,362.0,0.0,,horizon
65,2024-10-08,NASDAQ:INTC,entry,0.021456436931079327,23.31999969482422,23.31999969482422,0.0,245.3867324170311,0.25,
66,2024-10-09,NASDAQ:AVGO,entry,0.021456436931079327,185.95,185.95,0.0,155.77190421122228,0.25,
66,2024-10-09,NASDAQ:DXCM,entry,0.021456436931079327,69.62,69.62,0.0,416.05552410337225,0.25,
71,2024-10-16,NASDAQ:DXCM,trim,0.021456436931079327,69.62,69.9,416.0,412.5079844269213,0.25,
73,2024-10-18,NASDAQ:DXCM,trim,0.021456436931079327,69.62,72.38,413.0,404.43396894433346,0.25,
74,2024-10-21,NASDAQ:DXCM,trim,0.021456436931079327,69.62,72.61,405.0,402.46640481337056,0.25,
75,2024-10-22,NASDAQ:DXCM,trim,0.021456436931079327,69.62,73.08,403.0,399.8258158290614,0.25,
76,2024-10-23,NASDAQ:DXCM,trim,0.021456436931079327,69.62,72.48,400.0,397.98617709871417,0.25,
