step,date,ticker,kind,p_today,anchor_close,close,shares_before,shares_after,notional_f,trigger
13,2025-12-30,NASDAQ:AAPL,entry,0.047091770788453266,273.08,273.08,0.0,183.09652848981983,0.5,
13,2025-12-30,NASDAQ:AMAT,entry,0.047091770788453266,259.97,259.97,0.0,184.6366888487133,0.5,
14,2025-12-31,NASDAQ:AAPL,trim,0.00600803321294765,273.08,271.86,183.0,181.9982343853454,0.5,
16,2026-01-05,NASDAQ:AMAT,trim,0.047091770788453266,259.97,284.32,184.0,181.39419492121553,0.5,
17,2026-01-06,NASDAQ:AMAT,trim,0.047091770788453266,259.97,296.01,182.0,176.32173744130264,0.5,
18,2026-01-07,NASDAQ:AMAT,trim,0.047091770788453266,259.97,292.2,177.0,176.80033367556467,0.5,
20,2026-01-09,NASDAQ:AMAT,trim,0.047091770788453266,259.97,301.18,177.0,173.87750680656086,0.5,
21,2026-01-12,NASDAQ:AMAT,trim,0.047091770788453266,259.97,307.24,174.0,172.42719046999088,0.5,
24,2026-01-15,NASDAQ:AMAT,trim,0.047091770788453266,259.97,319.08,173.0,168.65663783377207,0.5,
25,2026-01-16,NASDAQ:AMAT,trim,0.047091770788453266,259.97,327.01,169.0,165.91062964435338,0.5,
26,2026-01-20,NASDAQ:AMAT,trim,0.047091770788453266,259.97,318.23,166.0,165.62172013952173,0.5,
27,2026-01-21,NASDAQ:AMAT,trim,0.047091770788453266,259.97,325.24,166.0,164.1067519370311,0.5,
29,2026-01-23,NASDAQ:AMAT,trim,0.047091770788453266,259.97,322.38,165.0,164.95283516347166,0.5,
32,2026-01-28,NASDAQ:AMAT,trim,0.047091770788453266,259.97,336.75,165.0,163.70429101707498,0.5,
33,2026-01-29,NASDAQ:AMAT,trim,0.047091770788453266,259.97,341.34,164.0,163.10198775414543,0.5,
44,2026-02-13,NASDAQ:AMAT,trim,0.047091770788453266,259.97,354.91,164.0,159.36004198247443,0.5,
46,2026-02-18,NASDAQ:AMAT,trim,0.047091770788453266,259.97,369.3,160.0,158.35830625507717,0.5,
47,2026-02-19,NASDAQ:AMAT,trim,0.047091770788453266,259.97,369.83,159.0,157.30805370034878,0.5,
48,2026-02-20,NASDAQ:AMAT,trim,0.047091770788453266,259.97,375.38,158.0,157.11520326069584,0.5,
49,2026-02-23,NASDAQ:AMAT,trim,0.047091770788453266,259.97,373.55,158.0,157.88765894793198,0.5,
51,2026-02-25,NASDAQ:AMAT,exit,0.047091770788453266,259.97,394.95,158.0,0.0,,target
51,2026-02-25,NASDAQ:AMD,entry,0.047091770788453266,210.86,210.86,0.0,48.763946694489206,0.5,
63,2026-03-13,NASDAQ:AAPL,exit,,273.08,250.12,182.0,0.0,,horizon
92,2026-04-24,NASDAQ:AMD,exit,,210.86,347.81,48.0,0.0,,target
