,equity
2025-12-17,100000.0
2025-12-18,100000.0
2025-12-19,100000.0
2025-12-22,100000.0
2025-12-23,100000.0
2025-12-24,100000.0
2025-12-26,100000.0
2025-12-29,100000.0
2025-12-30,100000.0
2025-12-31,99033.71
2026-01-02,100721.31
2026-01-05,101295.955
2026-01-06,101133.84499999999
2026-01-07,100593.305
2026-01-08,98654.255
2026-01-09,100742.455
2026-01-12,101736.015
2026-01-13,102750.475
2026-01-14,101488.46499999998
2026-01-15,103102.095
2026-01-16,104054.86499999999
2026-01-20,101483.795
2026-01-21,103776.59500000002
2026-01-22,103526.015
2026-01-23,103768.66500000001
2026-01-26,103744.265
2026-01-27,105449.615
2026-01-28,105452.465
2026-01-29,105776.37
2026-01-30,103138.365
2026-02-02,105397.615
2026-02-03,102375.575
2026-02-04,97414.875
2026-02-05,96807.045
2026-02-06,100706.015
2026-02-09,101529.815
2026-02-10,101108.445
2026-02-11,102134.82500000001
2026-02-12,98724.41500000001
2026-02-13,99632.585
2026-02-17,100512.12499999999
2026-02-18,101325.525
2026-02-19,100579.64500000002
2026-02-20,100890.475
2026-02-23,100815.10499999998
2026-02-24,102813.785
2026-02-25,104051.845
2026-02-26,103102.913
2026-02-27,101851.013
2026-03-02,102061.713
2026-03-03,100803.173
2026-03-04,101995.11299999998
2026-03-05,102968.933
2026-03-06,102086.593
2026-03-09,104188.81300000001
2026-03-10,104023.37299999999
2026-03-11,104202.933
2026-03-12,102250.57299999999
2026-03-13,100354.123
2026-03-16,100441.16799999999
2026-03-17,101166.658
2026-03-18,101363.39799999999
2026-03-19,101830.72799999999
2026-03-20,101097.608
2026-03-23,101734.64799999999
2026-03-24,101259.768
2026-03-25,100821.598
2026-03-26,100992.938
2026-03-27,100403.078
2026-03-30,100187.89799999999
2026-03-31,100623.048
2026-04-01,100561.89799999999
2026-04-02,100768.438
2026-04-06,100823.098
2026-04-07,101783.92799999999
2026-04-08,102325.19799999999
2026-04-09,101301.47799999999
2026-04-10,100636.288
2026-04-13,101365.018
2026-04-14,100996.768
2026-04-15,101108.048
2026-04-16,101466.658
2026-04-17,101477.658
2026-04-20,101653.20799999998
2026-04-21,102455.848
2026-04-22,103551.47799999999
2026-04-23,103266.36799999999
2026-04-24,104360.77799999999
2026-04-27,104455.098
2026-04-28,104308.268
2026-04-29,104476.02799999999
2026-04-30,104444.108
2026-05-01,104656.61799999999
2026-05-04,105130.268
2026-05-05,105378.128
2026-05-06,105090.488
2026-05-07,106370.58799999999
2026-05-08,106148.05799999999
2026-05-11,106148.05799999999
2026-05-12,106148.05799999999
2026-05-13,106148.05799999999
2026-05-14,106148.05799999999
2026-05-15,106148.05799999999
2026-05-18,106148.05799999999
2026-05-19,106148.05799999999
2026-05-20,106148.05799999999
2026-05-21,106148.05799999999
2026-05-22,106148.05799999999
