,equity
2024-07-15,100000.0
2024-07-16,100000.0
2024-07-17,100000.0
2024-07-18,100000.0
2024-07-19,100000.0
2024-07-22,100000.0
2024-07-23,100000.0
2024-07-24,100000.0
2024-07-25,100000.0
2024-07-26,100000.0
2024-07-29,101152.78126953125
2024-07-30,99683.28012695312
2024-07-31,103885.80139648437
2024-08-01,98854.36069824218
2024-08-02,98064.82044433593
2024-08-05,97288.26114257812
2024-08-06,97892.94057128906
2024-08-07,93495.71406347655
2024-08-08,97838.55425390624
2024-08-09,97435.29463476563
2024-08-12,98169.83520605469
2024-08-13,101161.25482519531
2024-08-14,100354.45514257812
2024-08-15,104968.55457128906
2024-08-16,106066.51412695312
2024-08-19,109254.53476171874
2024-08-20,107429.67526953125
2024-08-21,107983.99507910156
2024-08-22,104778.195015625
2024-08-23,107565.69539648436
2024-08-26,104772.65533300782
2024-08-27,104257.85533300781
2024-08-28,102104.99463476562
2024-08-29,101532.61450781251
2024-08-30,103714.31469824217
2024-09-03,100750.41526953125
2024-09-04,101724.71501562498
2024-09-05,102141.37444433593
2024-09-06,96600.34419042968
2024-09-09,98793.05507910156
2024-09-10,101418.79444433593
2024-09-11,104393.47514257813
2024-09-12,105832.63438085937
2024-09-13,106866.91393652343
2024-09-16,106071.5345078125
2024-09-17,105348.37412695312
2024-09-18,104886.65431738281
2024-09-19,109789.39444433594
2024-09-20,109159.53463476563
2024-09-23,110571.87463476561
2024-09-24,111247.15507910156
2024-09-25,111647.81349218749
2024-09-26,112964.31476171875
2024-09-27,112151.14374609373
2024-09-30,112115.67514257811
2024-10-01,109874.6834921875
2024-10-02,109806.37507910156
2024-10-03,109187.185015625
2024-10-04,113065.6278251953
2024-10-07,112035.3878251953
2024-10-08,112981.99726641845
2024-10-09,112146.1853456421
2024-10-10,110963.05582148742
2024-10-11,109016.07509379576
2024-10-14,108050.15605830384
2024-10-15,105363.63605838011
2024-10-16,106024.33585612488
2024-10-17,105082.60548518371
2024-10-18,105264.8255029602
2024-10-21,105044.51562350463
2024-10-22,104859.44559779357
2024-10-23,103342.80472689819
2024-10-24,109268.56757540893
2024-10-25,110281.16688677977
2024-10-28,111527.05681437682
2024-10-29,111844.05507777404
2024-10-30,108236.35350039673
2024-10-31,106200.64764346313
2024-11-01,107321.4852170105
2024-11-04,106871.05565615844
2024-11-05,108000.50575762939
2024-11-06,112179.04602053833
2024-11-07,115105.04628695679
2024-11-08,117391.34546359253
2024-11-11,122202.35511782837
2024-11-12,117294.78582827759
2024-11-13,118461.73575175475
2024-11-14,115130.78514018249
2024-11-15,115453.46585887145
2024-11-18,118012.86480624389
2024-11-19,119130.44540744017
2024-11-20,119245.63672450256
2024-11-21,119029.40830073546
2024-11-22,120156.5249901123
2024-11-25,119980.17684046936
2024-11-26,118237.3468500061
2024-11-27,117703.40795741271
2024-11-29,118987.36516482543
2024-12-02,121721.38655902099
2024-12-03,120080.04676387022
2024-12-04,119057.92513690185
2024-12-05,118767.4944256897
2024-12-06,120187.18778338622
2024-12-09,118782.35741595458
2024-12-10,117006.37807116698
2024-12-11,119189.3773388977
2024-12-12,119022.99872851562
2024-12-13,117711.33622302246
2024-12-16,119564.63736560059
2024-12-17,117766.54756938171
2024-12-18,112819.5070530243
2024-12-19,113617.2774875946
2024-12-20,116284.11630091858
2024-12-23,115034.51663996888
2024-12-24,115431.5081656952
2024-12-26,115232.40697901917
2024-12-27,113811.09706378174
2024-12-30,113340.40630091858
2024-12-31,112645.4272333069
2025-01-02,113144.27740283203
2025-01-03,113343.706216156
2025-01-06,113631.13621615601
2025-01-07,112813.83731806946
2025-01-08,113098.40748759461
2025-01-10,112437.63765711975
2025-01-13,111447.19647044373
2025-01-14,112642.67740283204
2025-01-15,114196.86774188232
2025-01-16,114423.79630091858
2025-01-17,114821.33757235718
2025-01-21,115268.15757235719
2025-01-22,115770.19714854432
2025-01-23,116148.5978266449
2025-01-24,115723.44723330688
2025-01-27,115922.21748759461
2025-01-28,120933.81765711975
2025-01-29,120195.38697901917
2025-01-30,120824.3668942566
2025-01-31,120005.74723330689
2025-02-03,119278.42630091858
2025-02-04,120089.01731806945
2025-02-05,120947.01774188233
2025-02-06,121478.09774188233
2025-02-07,120794.66714854431
2025-02-10,120636.92757235718
2025-02-11,120301.9778266449
2025-02-12,120843.28647044374
2025-02-13,122283.73782664491
2025-02-14,122538.49663996889
2025-02-18,122261.73663996888
2025-02-19,122259.75731806946
2025-02-20,119481.9265552063
2025-02-21,117369.04799617005
2025-02-24,116217.12799617005
2025-02-25,115295.43799617005
2025-02-26,115675.81799617005
2025-02-27,115675.81799617005
2025-02-28,115675.81799617005
2025-03-03,115675.81799617005
