,equity
2024-07-15,100000.0
2024-07-16,100000.0
2024-07-17,100000.0
2024-07-18,100000.0
2024-07-19,100000.0
2024-07-22,100000.0
2024-07-23,100000.0
2024-07-24,100000.0
2024-07-25,100000.0
2024-07-26,100000.0
2024-07-29,98917.12
2024-07-30,96336.57
2024-07-31,103934.79
2024-08-01,95463.10999999999
2024-08-02,94437.98999999999
2024-08-05,94695.51000000001
2024-08-06,93662.22999999998
2024-08-07,90719.34999999999
2024-08-08,96374.07
2024-08-09,96456.98999999999
2024-08-12,97440.75
2024-08-13,101340.66999999998
2024-08-14,101691.91
2024-08-15,106659.23000000001
2024-08-16,106947.26999999999
2024-08-19,109914.67
2024-08-20,109748.26999999999
2024-08-21,110185.23
2024-08-22,106971.91
2024-08-23,109383.66999999998
2024-08-26,105517.31
2024-08-27,106254.10999999999
2024-08-28,103799.03
2024-08-29,103101.27
2024-08-30,106030.87
2024-09-03,98817.63
2024-09-04,100605.54999999999
2024-09-05,99697.10999999999
2024-09-06,92925.09
2024-09-09,95452.09
2024-09-10,99410.07
2024-09-11,105017.95000000001
2024-09-12,107320.45000000001
2024-09-13,108842.37
2024-09-16,107603.07
2024-09-17,106677.31
2024-09-18,105549.12999999999
2024-09-19,110289.82999999999
2024-09-20,111179.37
2024-09-23,112037.61
2024-09-24,113181.23000000001
2024-09-25,114676.31
2024-09-26,117381.05
2024-09-27,114588.20999999999
2024-09-30,114434.75
2024-10-01,111347.09
2024-10-02,112365.51
2024-10-03,113816.41
2024-10-04,118102.70999999999
2024-10-07,117633.97
2024-10-08,118026.59
2024-10-09,120245.84999999998
2024-10-10,120111.68
2024-10-11,118776.43999999999
2024-10-14,119097.10999999999
2024-10-15,117034.18999999999
2024-10-16,117339.79999999999
2024-10-17,118879.19
2024-10-18,118350.82999999999
2024-10-21,118346.18
2024-10-22,118148.38999999998
2024-10-23,116219.06
2024-10-24,115510.51999999999
2024-10-25,116019.31999999999
2024-10-28,115719.5
2024-10-29,118067.03
2024-10-30,117205.27999999998
2024-10-31,114948.79999999999
2024-11-01,114670.54999999999
2024-11-04,114579.76999999999
2024-11-05,116334.62
2024-11-06,118285.67
2024-11-07,119703.41
2024-11-08,119741.32999999999
2024-11-11,118184.65999999999
2024-11-12,117322.4
2024-11-13,116450.39
2024-11-14,115315.03999999998
2024-11-15,113492.32999999999
2024-11-18,113776.24999999999
2024-11-19,113699.12
2024-11-20,113030.41999999998
2024-11-21,113295.07999999999
2024-11-22,113393.09
2024-11-25,113616.34999999999
2024-11-26,113628.98
2024-11-27,111949.99999999999
2024-11-29,112756.94
2024-12-02,114145.00999999998
2024-12-03,114676.51999999999
2024-12-04,115471.60999999999
2024-12-05,115436.75
2024-12-06,118379.54
2024-12-09,117957.22999999998
2024-12-10,115674.70999999999
2024-12-11,119377.51999999999
2024-12-12,118563.85999999999
2024-12-13,132859.66999999998
2024-12-16,140523.28999999998
2024-12-17,137585.95
2024-12-18,132895.78
2024-12-19,134105.56
2024-12-20,134105.56
2024-12-23,134105.56
2024-12-24,134105.56
2024-12-26,134105.56
2024-12-27,134105.56
2024-12-30,134105.56
2024-12-31,134105.56
2025-01-02,134105.56
2025-01-03,134105.56
2025-01-06,134105.56
2025-01-07,134105.56
2025-01-08,134105.56
2025-01-10,134105.56
2025-01-13,134105.56
2025-01-14,134105.56
2025-01-15,134105.56
2025-01-16,134105.56
2025-01-17,134105.56
2025-01-21,134105.56
2025-01-22,134105.56
2025-01-23,134105.56
2025-01-24,134105.56
2025-01-27,134105.56
2025-01-28,134105.56
2025-01-29,134105.56
2025-01-30,134105.56
2025-01-31,134105.56
2025-02-03,134105.56
2025-02-04,134105.56
2025-02-05,134105.56
2025-02-06,134105.56
2025-02-07,134105.56
2025-02-10,134105.56
2025-02-11,134105.56
2025-02-12,134105.56
2025-02-13,134105.56
2025-02-14,134105.56
2025-02-18,134105.56
2025-02-19,134105.56
2025-02-20,134105.56
2025-02-21,134105.56
2025-02-24,134105.56
2025-02-25,134105.56
2025-02-26,134105.56
2025-02-27,134105.56
2025-02-28,134105.56
2025-03-03,134105.56
