,equity
2024-07-15,100000.0
2024-07-16,100000.0
2024-07-17,100000.0
2024-07-18,100000.0
2024-07-19,100000.0
2024-07-22,100000.0
2024-07-23,100000.0
2024-07-24,100000.0
2024-07-25,100000.0
2024-07-26,100000.0
2024-07-29,100011.05
2024-07-30,97061.11
2024-07-31,99814.5
2024-08-01,95958.62
2024-08-02,94605.98999999999
2024-08-05,94649.65000000001
2024-08-06,95809.95000000001
2024-08-07,93463.71780000001
2024-08-08,98052.3978
2024-08-09,97367.5678
2024-08-12,98003.15780000002
2024-08-13,100545.49780000001
2024-08-14,101031.97780000001
2024-08-15,104296.29780000001
2024-08-16,104927.5478
2024-08-19,107593.16779999998
2024-08-20,106087.5578
2024-08-21,107144.6778
2024-08-22,104856.37779999999
2024-08-23,106837.6978
2024-08-26,104689.4878
2024-08-27,104802.64779999999
2024-08-28,102511.0178
2024-08-29,102897.2478
2024-08-30,104600.7178
2024-09-03,100917.2478
2024-09-04,99938.7278
2024-09-05,99409.1178
2024-09-06,95375.10280000001
2024-09-09,96749.46780000001
2024-09-10,98174.3978
2024-09-11,101042.8578
2024-09-12,102329.68780000001
2024-09-13,103196.5378
2024-09-16,103877.1478
2024-09-17,103380.3278
2024-09-18,103161.8278
2024-09-19,106818.09780000002
2024-09-20,108367.09780000002
2024-09-23,108267.80780000001
2024-09-24,108298.5678
2024-09-25,108019.4278
2024-09-26,108611.65279999998
2024-09-27,107801.6228
2024-09-30,107431.4628
2024-10-01,105418.8228
2024-10-02,106842.53280000002
2024-10-03,107507.21280000001
2024-10-04,111244.6728
2024-10-07,110756.40280000001
2024-10-08,111297.3128
2024-10-09,111519.71201260833
2024-10-10,110542.56215739518
2024-10-11,108505.21158616334
2024-10-14,108670.66197978288
2024-10-15,107981.23201806335
2024-10-16,110003.28225205689
2024-10-17,108618.04219970017
2024-10-18,108785.31213259965
2024-10-21,107100.55236817627
2024-10-22,107868.33256133346
2024-10-23,106263.45110776216
2024-10-24,111237.18334037095
2024-10-25,111754.73251952439
2024-10-28,112177.3731745079
2024-10-29,111442.28204377441
2024-10-30,111606.47032401353
2024-10-31,111485.12365945129
2024-11-01,113346.91004521637
2024-11-04,113584.9019514206
2024-11-05,114551.81216447144
2024-11-06,118886.50271615296
2024-11-07,122907.00218446046
2024-11-08,125262.53221516876
2024-11-11,129973.5213768509
2024-11-12,126378.16262105256
2024-11-13,129197.54249104767
2024-11-14,125880.8102275589
2024-11-15,124965.9025082901
2024-11-18,127055.3216843155
2024-11-19,128368.12134473115
2024-11-20,130062.2520660904
2024-11-21,130629.4726392868
2024-11-22,131298.0503497818
2024-11-25,131458.84146085053
2024-11-26,130419.532155011
2024-11-27,130696.97410737305
2024-11-29,132159.0004720047
2024-12-02,133639.81343285827
2024-12-03,132791.72342301637
2024-12-04,132360.8906208542
2024-12-05,132980.30171048432
2024-12-06,133863.6724187973
2024-12-09,130818.39481633453
2024-12-10,130361.204555867
2024-12-11,130679.70146649628
2024-12-12,134944.463079274
2024-12-13,132606.4915870407
2024-12-16,132543.04206921847
2024-12-17,131084.44222638398
2024-12-18,127531.0325904587
2024-12-19,125995.83172528533
2024-12-20,126249.95239545136
2024-12-23,127237.3220231369
2024-12-24,127557.75150189667
2024-12-26,127557.85090619355
2024-12-27,127447.36135297088
2024-12-30,126838.63179974823
2024-12-31,126595.27194867401
2025-01-02,126287.60217206267
2025-01-03,127515.10172528535
2025-01-06,129069.6720231369
2025-01-07,128569.71239545135
2025-01-08,127931.04090619355
2025-01-10,126054.73105511932
2025-01-13,126554.94150189667
2025-01-14,126098.7620975998
2025-01-15,127029.96261884003
2025-01-16,127114.70150189666
2025-01-17,127066.20239545136
2025-01-21,127700.33098065644
2025-01-22,128153.50157635956
2025-01-23,128137.42157635956
2025-01-24,128285.21098065644
2025-01-27,126454.21112958221
2025-01-28,125719.63090619355
2025-01-29,126324.06179974823
2025-01-30,126904.9312040451
2025-01-31,126283.16105511933
2025-02-03,128858.91232098846
2025-02-04,129519.09172528534
2025-02-05,128438.04105511932
2025-02-06,127630.60165082244
2025-02-07,127133.22172528534
2025-02-10,127951.31202313691
2025-02-11,127987.20120404511
2025-02-12,127704.67217206268
2025-02-13,127867.25239545136
2025-02-14,127161.39172528534
2025-02-18,127641.86165082245
2025-02-19,127830.5212040451
2025-02-20,127854.63090619355
2025-02-21,127965.91612958221
2025-02-24,128630.2070231369
2025-02-25,128398.40590619354
2025-02-26,128273.35665082245
2025-02-27,127249.77672528534
2025-02-28,127309.55739545135
2025-03-03,127309.55739545135
