cell,AUC,base_rate,K,total,maxdd,sharpe,entries,alloc_pct,breach_top10
nasdaq100_up_40pct_50d_dd20pct_aligned_mixmatch,0.923,0.0367,2,-0.07929921957492825,-0.2218851232814789,-0.23,7,50.0,False
nasdaq100_up_40pct_50d_dd20pct_aligned_mixmatch,0.923,0.0367,3,-0.08276083192676542,-0.15578220383960706,-0.43,9,33.3,False
nasdaq100_up_40pct_50d_dd20pct_aligned_mixmatch,0.923,0.0367,4,-0.060476406183677556,-0.13182505725892912,-0.22,12,25.0,False
nasdaq100_up_40pct_50d_dd20pct_aligned_mixmatch,0.923,0.0367,5,-0.04363814139869704,-0.10565522820027573,-0.19,13,20.0,False
sp500_up_50pct_25d_dd25pct_daswmacro,0.918,0.0018,2,0.24477154295654313,-0.12715126474975325,1.39,8,50.0,False
sp500_up_50pct_25d_dd25pct_daswmacro,0.918,0.0018,3,0.1097637965057372,-0.09819566492809939,0.91,12,33.3,False
sp500_up_50pct_25d_dd25pct_daswmacro,0.918,0.0018,4,0.08337791215603607,-0.10167008072006622,0.8,16,25.0,False
sp500_up_50pct_25d_dd25pct_daswmacro,0.918,0.0018,5,0.20634819526855464,-0.0969896245727686,1.52,20,20.0,False
sp500_up_50pct_50d_dd25pct_macroreal,0.913,0.0097,2,0.14625469999999985,-0.1566465850277755,0.89,4,50.0,False
sp500_up_50pct_50d_dd25pct_macroreal,0.913,0.0097,3,0.24285150543212897,-0.13442280101335624,1.32,7,33.3,False
sp500_up_50pct_50d_dd25pct_macroreal,0.913,0.0097,4,0.3564848016559601,-0.12174214810166495,1.93,10,25.0,False
sp500_up_50pct_50d_dd25pct_macroreal,0.913,0.0097,5,0.27309557395451356,-0.11355800047370646,1.74,12,20.0,False
sp500_up_50pct_50d_dd25pct_base_v2,0.907,0.0097,2,0.08185209999999987,-0.1566465850277755,0.54,5,50.0,False
sp500_up_50pct_50d_dd25pct_base_v2,0.907,0.0097,3,0.14918052358575418,-0.1384803756969557,0.91,8,33.3,False
sp500_up_50pct_50d_dd25pct_base_v2,0.907,0.0097,4,0.1567581799617006,-0.11582302372059439,0.96,10,25.0,False
sp500_up_50pct_50d_dd25pct_base_v2,0.907,0.0097,5,0.14754083916171257,-0.09717549375646362,1.0,12,20.0,False
sp500_up_40pct_25d_dd20pct_daswbase,0.905,0.0046,2,0.16787450000000015,-0.14028798814970678,1.02,8,50.0,False
sp500_up_40pct_25d_dd20pct_daswbase,0.905,0.0046,3,-0.06996359432934585,-0.17427397598882877,-0.47,12,33.3,False
sp500_up_40pct_25d_dd20pct_daswbase,0.905,0.0046,4,0.1405501738638304,-0.10064110558765516,1.05,17,25.0,False
sp500_up_40pct_25d_dd20pct_daswbase,0.905,0.0046,5,0.12541207917922947,-0.10121473410035364,1.02,21,20.0,False
sp500_up_50pct_50d_dd25pct_macroproxy,0.901,0.0097,2,0.3410556,-0.1566465850277755,1.52,4,50.0,False
sp500_up_50pct_50d_dd25pct_macroproxy,0.901,0.0097,3,0.18813291644464103,-0.1384803756969557,1.16,6,33.3,False
sp500_up_50pct_50d_dd25pct_macroproxy,0.901,0.0097,4,0.31408627936355593,-0.11582302372059439,1.72,9,25.0,False
sp500_up_50pct_50d_dd25pct_macroproxy,0.901,0.0097,5,0.3235662762162397,-0.1023743590168944,1.83,12,20.0,False
sp500_up_50pct_100d_dd25pct_aligned,0.901,0.0425,2,0.11852897985534683,-0.37858471241867975,0.44,7,50.0,False
sp500_up_50pct_100d_dd25pct_aligned,0.901,0.0425,3,0.061233676152038674,-0.3634250880311328,0.31,10,33.3,False
sp500_up_50pct_100d_dd25pct_aligned,0.901,0.0425,4,0.031816355645751804,-0.3974533200298225,0.24,15,25.0,False
sp500_up_50pct_100d_dd25pct_aligned,0.901,0.0425,5,0.07358678002639785,-0.3868671622940292,0.34,17,20.0,False
sp500_up_50pct_25d_dd25pct_daswbase,0.9,0.0018,2,0.29969610000000024,-0.12715126474975325,1.65,8,50.0,False
sp500_up_50pct_25d_dd25pct_daswbase,0.9,0.0018,3,0.04181928837533566,-0.11175533727747822,0.46,12,33.3,False
sp500_up_50pct_25d_dd25pct_daswbase,0.9,0.0018,4,0.18225116337741087,-0.11573254921181608,1.33,16,25.0,False
sp500_up_50pct_25d_dd25pct_daswbase,0.9,0.0018,5,0.25315444258282427,-0.1100661221200061,1.77,20,20.0,False
sp500_up_50pct_50d_dd25pct_agentloop,0.899,0.0257,2,0.2488068000000001,-0.045807890725534595,2.97,3,50.0,False
sp500_up_50pct_50d_dd25pct_agentloop,0.899,0.0257,3,0.12463475000000002,-0.09274487737484027,1.38,4,33.3,False
sp500_up_50pct_50d_dd25pct_agentloop,0.899,0.0257,4,0.0532518500000001,-0.08153651703734854,0.71,5,25.0,False
sp500_up_50pct_50d_dd25pct_agentloop,0.899,0.0257,5,0.06148058000000001,-0.08479516738946513,0.85,7,20.0,False
sp500_up_20pct_5d_dd10pct_daswmacro,0.897,0.0027,2,-0.07159950265407522,-0.1858467217762214,-0.36,41,50.0,False
sp500_up_20pct_5d_dd10pct_daswmacro,0.897,0.0027,3,0.10007812485427836,-0.11956085000000005,0.99,62,33.3,False
sp500_up_20pct_5d_dd10pct_daswmacro,0.897,0.0027,4,0.05054988096103674,-0.1239911868231498,0.56,82,25.0,False
sp500_up_20pct_5d_dd10pct_daswmacro,0.897,0.0027,5,0.020065173747916942,-0.09888472172354834,0.3,100,20.0,False
