id,name,prediction_source,prediction_module,cell_or_preset,model_artifact_path,calibrator_class,sizer_class,sizer_c,strategy_class,K,oos_start,oos_end,n_picks,n_unique_tickers,initial_cash,final_equity_strategy,total_return_strategy,cagr_strategy,max_dd_strategy,sharpe_strategy_gross,idx_bh_final_equity,idx_bh_total_return,idx_bh_cagr,idx_bh_max_dd,final_equity_ew_basket,total_return_ew_basket,cagr_ew_basket,max_dd_ew_basket,final_equity_ew_topk_no_kelly,total_return_ew_topk_no_kelly,cagr_ew_topk_no_kelly,max_dd_ew_topk_no_kelly,r_precision_at_1_realized,r_precision_at_3_realized,r_precision_at_5_realized,commit_sha,run_timestamp,notes,experiment,runner,benchmark_index,benchmark_is_proxy,benchmark_proxy_for,excess_return_total,train_start,comparison_end,data_vintage,n_days,mtm_truncated,selection_mode,sizing_mode,selection_bound,rank_by,regime_gate,cost_bps,prob_weight_alpha,vol_window,calmar_strategy,vol_annual_strategy,sortino_strategy,ulcer_index_strategy,worst_day_strategy,sharpe_active_strategy,avg_gross_exposure,pct_days_invested,n_entries,n_exits,n_trims,open_at_end,n_exit_target,n_exit_dd,n_exit_horizon,universe_n,selfcheck_status,selfcheck_max_abs_diff,universe_delta,caveat,daily_preds,comment
1,cell5_bayesian_kelly,gbdt,gbdt,nasdaq100_up_10pct_50d_dd5pct_agentloop_v1.3_revalidation_regen,results/gbdt/experiments/nasdaq100_up_10pct_50d_dd5pct_agentloop_v1.3_revalidation_regen/,BetaBinomialBucketed,DiscreteBoundedLossKelly,0.5,TopKDailyKellyLabelExit,3,2025-03-26,2025-12-26,6.0,4.0,100000.0,106727.64,0.0673,0.0678,-0.1158,,123179.15,0.2318,0.2424,-0.1419,115572.29,0.1557,0.1627,-0.1401,101365.78,0.0137,0.0142,-0.097,0.3333,,,706ba1ef960753ba5bbf805c2c138e3122edc40d,2026-06-13,,nasdaq100_up_10pct_50d_dd5pct_agentloop_v1.3_revalidation_regen,legacy_survey,NDX,False,,-0.1645,,,,,,breakeven,kelly,,,none,0.0,,,0.5854922279792746,,,,,,,,,,,,,,,,,,,,False,Not deployed to /daily-predictions
2,cell5b_fresh_oos,gbdt,gbdt,nasdaq100_up_10pct_50d_dd5pct_b_acceptance_agent,results/gbdt/experiments/nasdaq100_up_10pct_50d_dd5pct_b_acceptance_agent/ (inferred fresh-OOS),BetaBinomialBucketed,DiscreteBoundedLossKelly,0.5,TopKDailyKellyLabelExit,3,2026-03-13,2026-06-12,16.0,14.0,100000.0,108959.65,0.0896,0.3448,-0.0735,,121554.8,0.2155,1.1567,-0.0737,115412.75,0.1541,0.7584,-0.0653,107072.79,0.0707,0.3088,-0.0523,0.6667,,,(branch backtests-v11-fresh-oos),2026-06-13,,nasdaq100_up_10pct_50d_dd5pct_b_acceptance_agent,legacy_survey,NDX,False,,-0.1259,,,,,,breakeven,kelly,,,none,0.0,,,4.691156462585035,,,,,,,,,,,,,,,,,,,,False,Not deployed to /daily-predictions
3,cell5b_qkelly_mean,gbdt,gbdt,nasdaq100_up_10pct_50d_dd5pct_b_acceptance_agent (inferred fresh-OOS),results/gbdt/experiments/nasdaq100_up_10pct_50d_dd5pct_b_acceptance_agent/,BetaBinomialBucketed,DiscreteBoundedLossKelly,0.25,TopKDailyKellyLabelExit,3,2026-03-13,2026-06-12,36.0,25.0,100000.0,125390.29,0.2539,1.1838,-0.0356,,121554.8,0.2155,1.1567,-0.0737,115412.75,0.1541,0.7584,-0.0653,107072.79,0.0707,0.3088,-0.0523,0.688,,,(branch backtests-v11-qkelly-plow),2026-06-13,,nasdaq100_up_10pct_50d_dd5pct_b_acceptance_agent,legacy_survey,NDX,False,,0.03840000000000002,,,,,,breakeven,kelly,,,none,0.0,,,33.252808988764045,,,,,,,,,,,,,,,,,,,,False,Not deployed to /daily-predictions
4,cell5_revalreg_qkelly,gbdt,gbdt,nasdaq100_up_10pct_50d_dd5pct_agentloop_v1.3_revalidation_regen (published test window),results/gbdt/experiments/nasdaq100_up_10pct_50d_dd5pct_agentloop_v1.3_revalidation_regen/,BetaBinomialBucketed,DiscreteBoundedLossKelly,0.25,TopKDailyKellyLabelExit,3,2025-03-26,2026-03-11,11.0,7.0,100000.0,111456.38,0.1146,0.116,-0.1165,,125345.29,0.2535,0.2664,-0.1419,118154.31,0.1815,0.1906,-0.1401,101365.78,0.0137,0.0143,-0.097,,,,(branch backtests-v11-headline-sizing-survey),2026-06-13,"survey headline: 4/5 best agent cells make 0 trades (base-rate gate, p never>1/3); see _004 memo",nasdaq100_up_10pct_50d_dd5pct_agentloop_v1.3_revalidation_regen,legacy_survey,NDX,False,,-0.13890000000000002,,,,,,breakeven,kelly,,,none,0.0,,,0.9957081545064378,,,,,,,,,,,,,,,,,,,,False,Not deployed to /daily-predictions
5,rank_equal_ndx40,gbdt,gbdt,nasdaq100_up_40pct_50d_dd20pct_agentloop_mix (published test window; rank/equal),results/gbdt/experiments/nasdaq100_up_40pct_50d_dd20pct_agentloop_mix/,BetaBinomialBucketed,rank/equal-weight,1.0,"TopKDailyKellyLabelExit(selection_mode=rank,sizing=equal)",3,2025-06-05,2026-05-22,6.0,6.0,100000.0,161491.09,0.6149,0.6211,-0.0757,,136822.08,0.3682,0.3842,-0.1212,136521.91,0.3652,0.3811,-0.0891,,,,,,,,(branch backtests-v12-rank-sizing),2026-06-14,"V1.2 rank/equal; index=NDX; vs absolute-Kelly 0 trades in _004; single window, see _005",nasdaq100_up_40pct_50d_dd20pct_agentloop_mix,legacy_survey,NDX,False,,0.24669999999999997,,,,,,rank,equal,,,none,0.0,,,8.204755614266842,,,,,,,,,,,,,,,,,,,,False,Not deployed to /daily-predictions
6,rank_equal_sp500_20,gbdt,gbdt,sp500_up_20pct_25d_dd10pct_agentloop (published test window; rank/equal),results/gbdt/experiments/sp500_up_20pct_25d_dd10pct_agentloop/,BetaBinomialBucketed,rank/equal-weight,1.0,"TopKDailyKellyLabelExit(selection_mode=rank,sizing=equal)",3,2025-12-30,2026-05-22,13.0,8.0,100000.0,158140.58,0.5814,1.9429,-0.0727,,108370.21,0.0837,0.2245,-0.091,107362.42,0.0736,0.196,-0.0777,,,,,,,,(branch backtests-v12-rank-sizing),2026-06-14,"V1.2 rank/equal; index=SPX; vs absolute-Kelly 0 trades in _004; single window, see _005",sp500_up_20pct_25d_dd10pct_agentloop,legacy_survey,SPX,False,,0.49770000000000003,,,,,,rank,equal,,,none,0.0,,,26.72489683631362,,,,,,,,,,,,,,,,,,,,True,Deployed to /daily-predictions (SMA200 regime gate)
7,rank_equal_r1k50,gbdt,gbdt,russell1000_up_50pct_200d_dd25pct_aligned_agent_v14p1 (published test window; rank/equal),results/gbdt/experiments/russell1000_up_50pct_200d_dd25pct_aligned_agent_v14p1/,BetaBinomialBucketed,rank/equal-weight,1.0,"TopKDailyKellyLabelExit(selection_mode=rank,sizing=equal)",3,2023-07-27,2025-07-24,12.0,10.0,100000.0,149144.42,0.4914,0.2193,-0.2164,,140241.9,0.4024,0.1858,-0.189,129741.68,0.2974,0.1402,-0.2139,,,,,,,,(branch backtests-v12-rank-sizing),2026-06-14,"V1.2 rank/equal; index=SPX (proxy: ^RUI uncached); vs absolute-Kelly 0 trades in _004; single window, see _005",russell1000_up_50pct_200d_dd25pct_aligned_agent_v14p1,legacy_survey,SPX,True,^RUI,0.08900000000000002,,,,,,rank,equal,,,none,0.0,,,1.0134011090573012,,,,,,,,,,,,,,,,,,,,False,Not deployed to /daily-predictions
8,rank_equal_sp500_50,gbdt,gbdt,sp500_up_50pct_50d_dd25pct_agentloop (published test window; rank/equal),results/gbdt/experiments/sp500_up_50pct_50d_dd25pct_agentloop/,BetaBinomialBucketed,rank/equal-weight,1.0,"TopKDailyKellyLabelExit(selection_mode=rank,sizing=equal)",3,2025-12-30,2026-05-22,4.0,4.0,100000.0,112463.47,0.1246,0.3187,-0.0927,,108370.21,0.0837,0.2245,-0.091,107362.42,0.0736,0.196,-0.0777,,,,,,,,(branch backtests-v12-rank-sizing),2026-06-14,"V1.2 rank/equal; index=SPX; vs absolute-Kelly 0 trades in _004; single window, see _005",sp500_up_50pct_50d_dd25pct_agentloop,legacy_survey,SPX,False,,0.040900000000000006,,,,,,rank,equal,,,none,0.0,,,3.437971952535059,,,,,,,,,,,,,,,,,,,,True,Deployed to /daily-predictions (SMA200 regime gate)
9,rank_equal_cell5,gbdt,gbdt,nasdaq100_up_10pct_50d_dd5pct_agentloop_v1.3_revalidation_regen (published test window; rank/equal),results/gbdt/experiments/nasdaq100_up_10pct_50d_dd5pct_agentloop_v1.3_revalidation_regen/,BetaBinomialBucketed,rank/equal-weight,1.0,"TopKDailyKellyLabelExit(selection_mode=rank,sizing=equal)",3,2025-03-26,2026-03-11,9.0,6.0,100000.0,112349.38,0.1235,0.1251,-0.0523,,125345.29,0.2535,0.2664,-0.1419,118154.31,0.1815,0.1906,-0.1401,,,,,,,,(branch backtests-v12-rank-sizing),2026-06-14,"V1.2 rank/equal; index=NDX; vs absolute-Kelly 0 trades in _004; single window, see _005",nasdaq100_up_10pct_50d_dd5pct_agentloop_v1.3_revalidation_regen,legacy_survey,NDX,False,,-0.13,,,,,,rank,equal,,,none,0.0,,,2.391969407265774,,,,,,,,,,,,,,,,,,,,False,Not deployed to /daily-predictions
10,rolling_cell5_revalreg,gbdt,gbdt,nasdaq100_up_10pct_50d_dd5pct_agentloop_v1.3_revalidation_regen (full extended OOS: test + inference-fresh; rank/equal),results/gbdt/experiments/nasdaq100_up_10pct_50d_dd5pct_agentloop_v1.3_revalidation_regen/,BetaBinomialBucketed,rank/equal-weight,1.0,"TopKDailyKellyLabelExit(rank,equal)",3,2025-03-26,2026-06-12,34.0,,100000.0,136490.0,0.3649,,-0.0889,,147767.98703289896,0.488,0.3749868468903325,-0.1419185233555795,,,,,,,,,,,,(branch backtests-v12-rolling-validation),2026-06-14,"ROLLING 50d: 46% of 52 windows beat NDX, median excess -0.006 (p25 -0.076/p75 +0.055). No consistent edge; see _006",nasdaq100_up_10pct_50d_dd5pct_agentloop_v1.3_revalidation_regen,legacy_survey,NDX,False,,-0.12309999999999999,,2026-06-23,,,,rank,equal,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,False,Not deployed to /daily-predictions
