ticker,name
NASDAQ:AMD,"Advanced Micro Devices, Inc."
NASDAQ:CHTR,"Charter Communications, Inc."
NASDAQ:CRWD,"CrowdStrike Holdings, Inc."
NASDAQ:CSGP,"CoStar Group, Inc."
NASDAQ:DDOG,"Datadog, Inc."
NASDAQ:INTC,Intel Corporation
NASDAQ:INTU,Intuit Inc.
NASDAQ:KLAC,KLA Corporation
NASDAQ:LRCX,Lam Research Corporation
NASDAQ:LULU,lululemon athletica inc.
NASDAQ:MDB,"MongoDB, Inc."
NASDAQ:MRVL,"Marvell Technology, Inc."
NASDAQ:MSTR,Strategy Inc
NASDAQ:MU,"Micron Technology, Inc."
NASDAQ:NFLX,"Netflix, Inc."
NASDAQ:NVDA,NVIDIA Corporation
NASDAQ:ON,ON Semiconductor Corporation
NASDAQ:QCOM,QUALCOMM Incorporated
NASDAQ:SNPS,"Synopsys, Inc."
NASDAQ:TEAM,Atlassian Corporation
NASDAQ:TSLA,"Tesla, Inc."
NASDAQ:TTD,"The Trade Desk, Inc."
NASDAQ:WDAY,"Workday, Inc."
NASDAQ:ZS,"Zscaler, Inc."
NYSE:AAON,"AAON, Inc."
NYSE:ACHC,"Acadia Healthcare Company, Inc."
NYSE:AKAM,"Akamai Technologies, Inc."
NYSE:ALB,Albemarle Corporation
NYSE:AMKR,"Amkor Technology, Inc."
NYSE:APA,APA Corporation
NYSE:AR,Antero Resources Corporation
NYSE:ARE,"Alexandria Real Estate Equities, Inc."
NYSE:ASTS,"AST SpaceMobile, Inc."
NYSE:AU,AngloGold Ashanti plc
NYSE:BAX,Baxter International Inc.
NYSE:BILL,"BILL Holdings, Inc."
NYSE:BLDR,"Builders FirstSource, Inc."
NYSE:CAR,"Avis Budget Group, Inc."
NYSE:CIEN,Ciena Corporation
NYSE:CLF,Cleveland-Cliffs Inc.
NYSE:COHR,Coherent Corp.
NYSE:CORT,Corcept Therapeutics Incorporated
NYSE:CRL,"Charles River Laboratories International, Inc."
NYSE:CVNA,Carvana Co.
NYSE:DDS,"Dillard's, Inc."
NYSE:DELL,Dell Technologies Inc.
NYSE:DOCU,"DocuSign, Inc."
NYSE:DOW,Dow Inc.
NYSE:ELF,"e.l.f. Beauty, Inc."
NYSE:ENPH,"Enphase Energy, Inc."
NYSE:EPAM,"EPAM Systems, Inc."
NYSE:EVR,Evercore Inc.
NYSE:FCX,Freeport-McMoRan Inc.
NYSE:FIVE,"Five Below, Inc."
NYSE:FIX,"Comfort Systems USA, Inc."
NYSE:FRHC,Freedom Holdings Corp.
NYSE:FSLR,"First Solar, Inc."
NYSE:FTAI,FTAI Aviation Ltd.
NYSE:GLW,Corning Incorporated
NYSE:HLNE,Hamilton Lane Incorporated
NYSE:IBKR,"Interactive Brokers Group, Inc."
NYSE:INSP,"Inspire Medical Systems, Inc."
NYSE:IPGP,IPG Photonics Corporation
NYSE:JBL,Jabil Inc.
NYSE:LITE,Lumentum Holdings Inc.
NYSE:LUV,Southwest Airlines Co.
NYSE:MANH,"Manhattan Associates, Inc."
NYSE:MORN,"Morningstar, Inc."
NYSE:MOS,The Mosaic Company
NYSE:MPWR,"Monolithic Power Systems, Inc."
NYSE:MRNA,"Moderna, Inc."
NYSE:MTZ,"MasTec, Inc."
NYSE:NCLH,Norwegian Cruise Line Holdings Ltd.
NYSE:NEM,Newmont Corporation
NYSE:NOW,"ServiceNow, Inc."
NYSE:NRG,"NRG Energy, Inc."
NYSE:OLLI,"Ollie's Bargain Outlet Holdings, Inc."
NYSE:ONTO,Onto Innovation Inc.
NYSE:ORCL,Oracle Corporation
NYSE:P,"Everpure, Inc."
NYSE:PCTY,Paylocity Holding Corporation
NYSE:PSKY,Paramount Skydance Corporation
NYSE:RGEN,Repligen Corporation
NYSE:RH,RH
NYSE:SAIA,"Saia, Inc."
NYSE:SATS,EchoStar Corporation
NYSE:SCCO,Southern Copper Corporation
NYSE:SEB,Seaboard Corporation
NYSE:SMCI,"Super Micro Computer, Inc."
NYSE:SMMT,Summit Therapeutics Inc.
NYSE:SRPT,"Sarepta Therapeutics, Inc."
NYSE:STX,Seagate Technology Holdings plc
NYSE:TER,"Teradyne, Inc."
NYSE:TIGO,Millicom International Cellular S.A.
NYSE:UI,Ubiquiti Inc.
NYSE:VFC,V.F. Corporation
NYSE:VKTX,"Viking Therapeutics, Inc."
NYSE:VRT,Vertiv Holdings Co
NYSE:W,Wayfair Inc.
NYSE:WCC,"WESCO International, Inc."
NYSE:WDC,Western Digital Corporation
