,equity
2024-06-18,100000.0
2024-06-20,100000.0
2024-06-21,100000.0
2024-06-24,100000.0
2024-06-25,100000.0
2024-06-26,100000.0
2024-06-27,100000.0
2024-06-28,100000.0
2024-07-01,100000.0
2024-07-02,100041.8319228058
2024-07-03,99846.54430926881
2024-07-05,101390.94515200134
2024-07-08,102719.85180137379
2024-07-09,104493.26738260014
2024-07-10,107460.96268460972
2024-07-11,107668.21762035115
2024-07-12,108496.45452662058
2024-07-15,111752.46981020518
2024-07-16,111667.23017117087
2024-07-17,107183.47700594476
2024-07-18,106212.30777153243
2024-07-19,105740.13565668334
2024-07-22,108323.73816815573
2024-07-23,107877.67860356528
2024-07-24,103951.93542255458
2024-07-25,105835.33271903123
2024-07-26,106797.46303862656
2024-07-29,103423.4429200865
2024-07-30,95102.86282515962
2024-07-31,97207.03759482832
2024-08-01,93601.22539428205
2024-08-02,90820.78294089765
2024-08-05,87570.27579976199
2024-08-06,88607.92030535218
2024-08-07,86129.32381357471
2024-08-08,90008.51589349714
2024-08-09,90601.87603763548
2024-08-12,90977.30929664579
2024-08-13,93294.17450002638
2024-08-14,92683.8280940434
2024-08-15,95176.92281432654
2024-08-16,95125.41651555541
2024-08-19,97939.67641000474
2024-08-20,97153.31912013674
2024-08-21,98453.23152133609
2024-08-22,96951.24967023516
2024-08-23,99007.59594508792
2024-08-26,97802.21611186648
2024-08-27,97157.45528816678
2024-08-28,95540.20933794476
2024-08-29,95679.44178724325
2024-08-30,97326.87881639093
2024-09-03,93483.8526797542
2024-09-04,94000.00595714417
2024-09-05,93812.96366311875
2024-09-06,92193.09803726044
2024-09-09,97911.45646955338
2024-09-10,98375.42902622712
2024-09-11,100682.74285421861
2024-09-12,102633.19877634538
2024-09-13,105910.3034203815
2024-09-16,104736.558841435
2024-09-17,104651.16438647895
2024-09-18,104962.703475205
2024-09-19,107417.34540626197
2024-09-20,108320.6181537786
2024-09-23,108846.57950946479
2024-09-24,109363.32684251457
2024-09-25,108900.12584659248
2024-09-26,111041.53260966926
2024-09-27,111602.37570306449
2024-09-30,112115.40726586967
2024-10-01,109549.02499219566
2024-10-02,109200.0260398069
2024-10-03,108384.06956359535
2024-10-04,110353.0313346067
2024-10-07,109354.5846926847
2024-10-08,111466.4429576078
2024-10-09,110725.06556197791
2024-10-10,109801.47377368598
2024-10-11,112262.12948056846
2024-10-14,113562.35530254035
2024-10-15,113235.12251063972
2024-10-16,115139.67733546882
2024-10-17,113676.7548839727
2024-10-18,114352.63243171363
2024-10-21,113499.14309331565
2024-10-22,113132.85270139365
2024-10-23,111116.50958701759
2024-10-24,113596.70267793327
2024-10-25,116944.92536565452
2024-10-28,120190.9027039697
2024-10-29,119516.07508020385
2024-10-30,116375.14035158142
2024-10-31,114810.82283811553
2024-11-01,114595.06079225524
2024-11-04,115078.4955313681
2024-11-05,117140.51894979461
2024-11-06,120628.31816892608
2024-11-07,122749.2566817282
2024-11-08,124340.55478887542
2024-11-11,127752.48649816497
2024-11-12,126130.11039190277
2024-11-13,123794.69063310607
2024-11-14,123863.28253011688
2024-11-15,121805.56104497894
2024-11-18,123051.04645280822
2024-11-19,125908.16840391143
2024-11-20,126347.68223409637
2024-11-21,124809.82345895751
2024-11-22,126170.06953744873
2024-11-25,127572.09078340515
2024-11-26,126701.72008066162
2024-11-27,126852.51107912048
2024-11-29,126761.95495443328
2024-12-02,127331.6591370581
2024-12-03,126870.81143884643
2024-12-04,128429.71338586792
2024-12-05,127959.69288473114
2024-12-06,129149.45282583221
2024-12-09,127406.82776753811
2024-12-10,125634.64460758111
2024-12-11,127617.53318981073
2024-12-12,126024.73849109552
2024-12-13,125191.08496478936
2024-12-16,125713.49343303582
2024-12-17,125134.37404636285
2024-12-18,120421.80325893304
2024-12-19,119950.14401033089
2024-12-20,121871.06379678413
2024-12-23,123129.65865686104
2024-12-24,125576.10990502998
2024-12-26,126062.79582383797
2024-12-27,123739.7383427342
2024-12-30,121524.69080397688
2024-12-31,120809.06379935346
2025-01-02,121123.15647170148
2025-01-03,124169.71215865217
2025-01-06,125045.38215109907
2025-01-07,123411.12763259016
2025-01-08,122981.95928237043
2025-01-10,121125.01843497358
2025-01-13,121277.13697859846
2025-01-14,119725.41799208723
2025-01-15,122554.25077101789
2025-01-16,122456.51615569196
2025-01-17,125450.46509215437
2025-01-21,127197.25671622358
2025-01-22,127947.32827803693
2025-01-23,128228.31257102094
2025-01-24,126579.63483664594
2025-01-27,121711.34338042341
2025-01-28,122454.38745352827
2025-01-29,121184.78362700544
2025-01-30,122486.18883750043
2025-01-31,121295.10716292463
2025-02-03,120050.80733153425
2025-02-04,121582.14333960615
2025-02-05,121999.2557015141
2025-02-06,120976.01032874189
2025-02-07,120166.02590605817
2025-02-10,121813.27867809842
2025-02-11,120349.05096355984
2025-02-12,119912.4169608743
2025-02-13,122010.5713635196
2025-02-14,123439.51848037141
2025-02-18,125967.29265983003
2025-02-19,124878.27555663484
2025-02-20,125798.44674117463
2025-02-21,121374.85117347138
2025-02-24,117552.73389823335
2025-02-25,113536.50444228547
2025-02-26,115912.88314063447
2025-02-27,112626.87310225861
2025-02-28,115492.01422698396
2025-03-03,110718.07009894746
2025-03-04,110365.49293143647
2025-03-05,111645.39618308442
2025-03-06,106577.05484969514
2025-03-07,106895.17476587686
2025-03-10,101330.97076921853
2025-03-11,102050.88884718329
2025-03-12,104188.76587783269
2025-03-13,104058.45303619301
2025-03-14,107895.81063926613
2025-03-17,108157.11604583656
2025-03-18,106123.84312522804
2025-03-19,108304.98475540077
2025-03-20,108057.87442291176
2025-03-21,108706.94587982094
2025-03-24,112776.41190803444
2025-03-25,112551.58496368324
2025-03-26,109923.30896652138
2025-03-27,107510.73007285988
2025-03-28,104537.8443630973
2025-03-31,103524.3051632682
2025-04-01,104360.22979247963
2025-04-02,106756.48633277809
2025-04-03,100639.1777313987
2025-04-04,95932.77542037438
2025-04-07,95511.25129720452
2025-04-08,90975.79816076043
2025-04-09,103307.65955945733
2025-04-10,99174.35456241656
2025-04-11,102382.04119075823
2025-04-14,105182.33067859698
2025-04-15,104702.62701572466
2025-04-16,103040.18979419756
2025-04-17,104469.0946613698
2025-04-21,102561.51174091524
2025-04-22,105960.57385286693
2025-04-23,110842.91237768535
2025-04-24,115158.48623403911
2025-04-25,116732.69459103543
2025-04-28,117770.61359356839
2025-04-29,118561.10663556057
2025-04-30,118441.62649582821
2025-05-01,118902.36108349758
2025-05-02,123564.86449192959
2025-05-05,122252.58522652584
2025-05-06,120517.83153771359
2025-05-07,121191.91637658078
2025-05-08,123344.15888451535
2025-05-09,125470.6561493774
2025-05-12,130154.60162069026
2025-05-13,133033.41339227415
2025-05-14,132546.5297736439
2025-05-15,131733.74123687617
2025-05-16,133086.69019143935
2025-05-19,132865.66107385512
2025-05-20,133958.82040231582
2025-05-21,130043.82464425916
2025-05-22,129941.32460992689
2025-05-23,127475.02065484876
2025-05-27,129717.77093332166
2025-05-28,129054.60430235855
2025-05-29,129497.96019453995
2025-05-30,127673.78415389053
2025-06-02,129715.85011000626
2025-06-03,132911.14246246236
2025-06-04,133284.766224557
2025-06-05,132635.00742963405
2025-06-06,137009.0399281236
2025-06-09,139721.4580036851
2025-06-10,142398.59430617897
2025-06-11,140535.92344775828
2025-06-12,139527.31841679176
2025-06-13,137628.16965871514
2025-06-16,140108.76733697538
2025-06-17,139330.8849841464
2025-06-18,141008.8027411807
2025-06-20,140326.964928757
2025-06-23,140733.78367913846
2025-06-24,146090.32513726834
2025-06-25,146318.18818391446
2025-06-26,148949.2412997592
2025-06-27,147394.56960404996
2025-06-30,147398.32745851163
2025-07-01,147291.81713212613
2025-07-02,150722.2296477664
2025-07-03,151906.43146813993
2025-07-07,148416.49692262296
2025-07-08,152512.86601556424
2025-07-09,153242.91394723539
2025-07-10,156277.93577111844
2025-07-11,155775.2505122531
2025-07-14,155565.77918542508
2025-07-15,153395.10885728482
2025-07-16,154230.85490144376
2025-07-17,155670.1214610446
2025-07-18,155550.76378549222
2025-07-21,156703.47205842618
2025-07-22,157700.83347238187
2025-07-23,158006.77721894864
2025-07-24,156169.01653970365
2025-07-25,156861.16306413297
2025-07-28,157880.04237474088
2025-07-29,157622.19079888944
2025-07-30,157751.9640704501
2025-07-31,155039.27723992948
2025-08-01,150884.7219497073
2025-08-04,152504.44849313382
2025-08-05,152685.15263856534
2025-08-06,151999.33597291593
2025-08-07,155517.64743531827
2025-08-08,156581.47841180448
2025-08-11,156672.23979104642
2025-08-12,157944.52033151273
2025-08-13,158357.01434625272
2025-08-14,155407.0175143588
2025-08-15,155221.9430171359
2025-08-18,154715.5279036868
2025-08-19,153636.0883799899
2025-08-20,153281.34637941007
2025-08-21,152772.13233865384
2025-08-22,157190.03041185025
2025-08-25,156398.77349008207
2025-08-26,156700.47147287015
2025-08-27,156651.95272935514
2025-08-28,157182.07144273404
2025-08-29,154285.06729043607
2025-09-02,153799.2089129794
2025-09-03,152927.58514321927
2025-09-04,155428.21976007108
2025-09-05,156546.00626481656
2025-09-08,155878.87477792386
