experiment,rows,Q_days,base_rate,AUC,R_precision_at_1,R_precision_at_3,R_precision_at_5,R_precision_at_10,R_precision_at_20,mode,n_iterations_run,backend,train_start,train_end,val_start,val_end,eval_start,eval_end,test_start,test_end
nasdaq100_up_40pct_50d_dd20pct_aligned_mixmatch,9200.0,90.0,0.036739,0.922838,0.333333,0.312963,0.367407,0.734603,0.926111,sweep,1.0,xgboost,2019-01-02,2022-03-04,2022-03-07,2023-10-06,2023-10-09,2024-07-25,2024-07-26,2024-12-16
sp500_up_50pct_25d_dd25pct_daswmacro,48600.0,60.0,0.001811,0.918021,0.133333,0.069444,0.069444,0.216667,0.35,sweep,1.0,xgboost,2019-01-02,2022-03-04,2022-03-07,2023-10-06,2023-10-09,2024-07-25,2024-07-26,2024-12-16
sp500_up_50pct_50d_dd25pct_macroreal,48600.0,91.0,0.009733,0.912758,0.120879,0.128205,0.167949,0.249891,0.345735,sweep,1.0,xgboost,2019-01-02,2022-03-04,2022-03-07,2023-10-06,2023-10-09,2024-07-25,2024-07-26,2024-12-16
sp500_up_50pct_50d_dd25pct_base_v2,48600.0,91.0,0.009733,0.906571,0.10989,0.106227,0.145421,0.218175,0.391165,sweep,1.0,xgboost,2019-01-02,2022-03-04,2022-03-07,2023-10-06,2023-10-09,2024-07-25,2024-07-26,2024-12-16
sp500_up_40pct_25d_dd20pct_daswbase,48600.0,87.0,0.004568,0.905436,0.091954,0.084291,0.078927,0.183716,0.437931,sweep,1.0,xgboost,2019-01-02,2022-03-04,2022-03-07,2023-10-06,2023-10-09,2024-07-25,2024-07-26,2024-12-16
sp500_up_50pct_50d_dd25pct_macroproxy,48600.0,91.0,0.009733,0.901299,0.131868,0.091575,0.117582,0.273618,0.423435,sweep,1.0,xgboost,2019-01-02,2022-03-04,2022-03-07,2023-10-06,2023-10-09,2024-07-25,2024-07-26,2024-12-16
sp500_up_50pct_100d_dd25pct_aligned,97200.0,195.0,0.04251,0.900623,0.476923,0.407692,0.391026,0.391347,0.407873,sweep,2.0,catboost,2019-01-02,2022-03-04,2022-03-07,2023-10-06,2023-10-09,2024-07-25,2024-07-26,2025-05-13
sp500_up_50pct_25d_dd25pct_daswbase,48600.0,60.0,0.001811,0.899984,0.133333,0.069444,0.075,0.205556,0.391667,sweep,1.0,xgboost,2019-01-02,2022-03-04,2022-03-07,2023-10-06,2023-10-09,2024-07-25,2024-07-26,2024-12-16
sp500_up_50pct_50d_dd25pct_agentloop,24300.0,50.0,0.025679,0.899489,0.64,0.426667,0.32,0.34577,0.428157,agent_file_protocol,1.0,xgboost,2020-06-04,2023-08-08,2023-08-09,2025-03-13,2025-03-14,2025-12-29,2025-12-30,2026-03-12
sp500_up_20pct_5d_dd10pct_daswmacro,48600.0,61.0,0.002716,0.897339,0.163934,0.142077,0.169672,0.238434,0.377596,sweep,1.0,xgboost,2019-01-02,2022-03-04,2022-03-07,2023-10-06,2023-10-09,2024-07-25,2024-07-26,2024-12-16
sp500_up_20pct_5d_dd10pct_daswbase,48600.0,61.0,0.002716,0.893764,0.180328,0.136612,0.234153,0.28816,0.463297,sweep,1.0,xgboost,2019-01-02,2022-03-04,2022-03-07,2023-10-06,2023-10-09,2024-07-25,2024-07-26,2024-12-16
russell1000_up_50pct_25d_dd25pct,66675.0,74.0,0.008714,0.892923,0.027027,0.103604,0.081532,0.149973,0.235031,sweep,,,2020-05-12,2023-08-08,2023-07-18,2025-03-13,2025-02-20,2025-12-29,2025-12-05,2026-04-17
sp500_up_40pct_25d_dd20pct_daswmacro,48600.0,87.0,0.004568,0.89027,0.022989,0.042146,0.084674,0.255556,0.436207,sweep,1.0,xgboost,2019-01-02,2022-03-04,2022-03-07,2023-10-06,2023-10-09,2024-07-25,2024-07-26,2024-12-16
sp500_up_50pct_25d_dd25pct_swbase,36450.0,62.0,0.013416,0.889408,0.112903,0.091398,0.16586,0.338306,0.441298,sweep,1.0,xgboost,2020-06-24,2023-08-29,2023-08-29,2025-04-03,2025-04-03,2026-01-21,2026-01-22,2026-05-08
nifty500_up_50pct_50d_dd25pct_aligned,37600.0,85.0,0.004894,0.889259,0.047059,0.162745,0.186275,0.301961,0.432353,sweep,3.0,xgboost,2019-01-01,2022-03-29,2022-03-30,2023-11-09,2023-11-10,2024-09-03,2024-09-04,2025-01-27
sp500_up_50pct_50d_dd25pct_bear2022,97812.0,163.0,0.005654,0.884179,0.006135,0.01227,0.022904,0.106276,0.266669,sweep,3.0,xgboost,2016-06-01,2019-08-05,2019-08-06,2021-03-08,2021-03-09,2021-12-20,2021-12-21,2022-12-16
sp500_up_50pct_50d_dd25pct_agentloop_mix,24300.0,50.0,0.025679,0.883597,0.36,0.393333,0.312,0.293325,0.415051,agent_file_protocol,0.0,xgboost,2020-06-04,2023-08-08,2023-08-09,2025-03-13,2025-03-14,2025-12-29,2025-12-30,2026-03-12
sp500_up_50pct_25d_dd25pct_swmacro,36450.0,62.0,0.013416,0.881163,0.225806,0.247312,0.245699,0.343145,0.439847,sweep,1.0,xgboost,2020-06-24,2023-08-29,2023-08-29,2025-04-03,2025-04-03,2026-01-21,2026-01-22,2026-05-08
sp500_up_50pct_100d_dd25pct_daswbase,48600.0,95.0,0.03216,0.878875,0.147368,0.207018,0.271053,0.289883,0.392174,sweep,1.0,xgboost,2019-01-02,2022-03-04,2022-03-07,2023-10-06,2023-10-09,2024-07-25,2024-07-26,2024-12-16
russell1000_up_50pct_100d_dd25pct_aligned,177800.0,200.0,0.048436,0.874698,0.49,0.433333,0.42525,0.343933,0.361074,sweep,3.0,catboost,2019-01-02,2022-03-04,2022-03-07,2023-10-06,2023-10-09,2024-07-25,2024-07-26,2025-05-13
sp500_up_50pct_100d_dd25pct_daswmacro,48600.0,95.0,0.03216,0.873096,0.126316,0.177193,0.242807,0.271111,0.323967,sweep,1.0,xgboost,2019-01-02,2022-03-04,2022-03-07,2023-10-06,2023-10-09,2024-07-25,2024-07-26,2024-12-16
nasdaq100_up_50pct_100d_dd25pct_aligned,18400.0,176.0,0.068152,0.870021,0.340909,0.392045,0.383428,0.503943,0.61687,sweep,2.0,catboost,2019-01-02,2022-03-04,2022-03-07,2023-10-06,2023-10-09,2024-07-25,2024-07-26,2025-05-13
sp500_up_20pct_10d_dd10pct_daswmacro,48600.0,90.0,0.009198,0.868046,0.144444,0.114815,0.098889,0.177967,0.314368,sweep,1.0,xgboost,2019-01-02,2022-03-04,2022-03-07,2023-10-06,2023-10-09,2024-07-25,2024-07-26,2024-12-16
nifty500_up_50pct_10d_dd25pct_aligned,37600.0,11.0,0.000293,0.865801,0.0,0.0,0.0,0.0,0.545455,sweep,3.0,xgboost,2019-01-01,2022-03-29,2022-03-30,2023-11-09,2023-11-10,2024-09-03,2024-09-04,2025-01-27
sp500_up_50pct_50d_dd25pct_macrochamp,24300.0,50.0,0.038395,0.864416,0.36,0.313333,0.336,0.304952,0.415267,default_full_loop,3.0,xgboost,2020-06-24,2023-08-29,2023-08-29,2025-04-03,2025-04-03,2026-01-21,2026-01-22,2026-04-02
