ticker,date,pe,ps,p_fcf,earnings_yield,sales_yield,fcf_yield,eps_ttm,rev_ps_ttm,fcf_ps_ttm,market_cap,adj_close,shares,revenue_ttm,net_income_ttm,fcf_ttm,revenue_q,asof_fiscal_period_end,asof_filed_date
FUND:A,2026-07-02,26.738897968383963,5.227986964504276,34.7827062808601,0.03739869912299298,0.19127821220472788,0.028749919339952877,4.996466431095406,25.554770318021202,3.8409893992932864,37808.80172729492,133.60000610351562,283.0,7232.0,1414.0,1087.0,1835.0,2026-04-30,2026-06-01
FUND:AA,2026-07-02,12.523094777562862,1.0232224417226392,43.74621621621621,0.07985246600478188,0.9773046008612328,0.022859119862103906,3.887218045112782,47.57518796992481,1.112781954887218,12948.88,48.68,266.0,12655.0,1034.0,296.0,3193.0,2026-03-31,2026-04-30
FUND:AAL,2026-07-02,58.65526495049506,0.2116005914919456,10.771239563636366,0.017048767929767228,4.725884710194981,0.09283982536011857,0.3055139213014288,84.68785400669408,1.663689670453325,11848.363520000003,17.92,661.181,55994.0,202.0,1100.0,13912.0,2026-03-31,2026-04-23
FUND:AAON,2026-07-02,75.78847573571745,5.536217761995056,,0.01319461818294258,0.18062873300699708,-0.016222936990905858,1.4200048088482806,19.43926424621303,-1.7459124789612885,8951.831600000001,107.62,83.18,1616.9579999999999,118.11599999999999,-145.225,496.936,2026-03-31,2026-05-07
FUND:AAPL,2026-07-02,36.870237920623474,10.010963563692396,34.986680083611425,0.027122146652616176,0.09989048443116746,0.028582306112217352,8.323786642147459,30.656389062242162,8.771909571386953,4519369.4131204225,306.8999938964844,14725.87,451442.0,122575.0,129174.0,111184.0,2026-03-31,2026-05-01
FUND:ABBV,2026-07-02,127.33323370200038,7.287014679614311,22.911059817752324,0.007853409286222267,0.13723040833134814,0.04364704243079858,2.0264937993235628,35.410935738444195,11.262683201803833,457762.9751586914,258.0400085449219,1774.0,62819.0,3595.0,19980.0,15002.0,2026-03-31,2026-05-08
FUND:ABNB,2026-07-02,36.02828616967123,7.170332591844904,,0.027755969165188996,0.139463544708838,,4.139802631578948,20.800986842105264,,90683.1962890625,149.14999389648438,608.0,12647.0,2517.0,,2678.0,2026-03-31,2026-05-07
FUND:ABT,2026-07-02,26.320229044238957,3.659896252972121,22.388961436926497,0.03799359034145194,0.2732317887939917,0.04466486767674194,3.592294082731517,25.83406646430916,4.223063375142309,165185.7574816437,94.55000305175781,1747.073,45134.0,6276.0,7378.0,11164.0,2026-03-31,2026-04-29
FUND:ACGL,2026-07-02,7.415866598119877,1.8268747568407766,6.166598748257388,0.1348460071077232,0.5473828987211498,0.16216394820282232,13.54462051709758,54.98192938559911,16.288573811509593,36130.10206604004,100.44509887695312,359.7,19777.0,4872.0,5859.0,4521.0,2026-03-31,2026-05-05
FUND:ACHC,2026-07-02,,0.8600575022839213,,-0.38182903399014473,1.1627129550576039,-0.08677924751831273,-12.184164474625518,37.10217039588814,-2.7691257883093594,2899.31069,31.91,90.859,3371.0661,-1107.041,-251.60000000000005,828.802,2026-03-31,2026-04-30
